Unnamed: 0,Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,qa,red,blue,drad,emis,emsd,lwir,trad,urad,atran,cdist,green,nir08,lwir.1,swir16,swir22,cloud_qa,qa_pixel,qa_radsat,atmos_opacity,NVDI,SAVI,BSI,NDBI,TCWI
0,-28.760833,17.730278,02-01-2011,128.912,555.0,10.0,172.0,12802.0,9557.0,890.0,9880.0,,44344.0,8935.0,1835.0,7669.0,2447.5,11426.0,11190.0,44344.0,7687.5,7645.0,32.0,5504.0,,8.0,-0.06718906302100701,-0.1007814942169428,-0.006244467886459811,-0.1855383392928089,2757.192849999999
1,-26.861111,28.884722,03-01-2011,74.72,162.9,163.0,213.0,9241.5,8691.0,747.0,9570.5,,45396.5,9097.0,1477.5,7957.5,476.5,9550.0,17658.5,45396.5,13746.5,10574.0,,5440.0,,46.0,0.3128996282527881,0.46934071857400417,-0.06813275905751204,-0.12456615188664226,-2356.4101500000006
2,-26.45,28.085833,03-01-2011,89.254,573.0,80.0,298.0,12540.0,9502.5,329.0,9670.5,89.5,41467.5,7739.0,590.0,9051.0,178.5,10720.0,15210.0,41467.5,17974.0,14201.0,2.0,5440.0,,9.0,0.09621621621621622,0.1443217239329021,0.10504920644980217,0.08329315332690453,-6416.518949999999
3,-27.671111,27.236944,03-01-2011,82.0,203.6,101.0,284.0,11237.5,9693.5,1198.0,9756.5,96.5,46121.0,8990.0,2550.0,6476.0,381.5,10943.0,14887.0,46121.0,13522.0,11403.0,,5440.0,,48.0,0.13969645352064156,0.20954066985645936,0.003627888123226591,-0.048048153754092014,-2437.221200000001
4,-27.356667,27.286389,03-01-2011,56.1,145.1,151.0,260.0,9290.0,8718.0,1187.0,9829.5,95.0,44381.0,8547.0,2526.0,6521.0,930.0,9502.5,16828.5,44381.0,12665.5,9643.0,,5440.0,,106.5,0.28862683538488043,0.43293196523603505,-0.07559681697612732,-0.14114735200379738,-1434.770050000002
5,-27.01011111,26.69808333,04-01-2011,82.2,289.8,192.0,274.0,10728.5,9344.0,1245.0,9804.5,67.0,44339.0,8492.0,2668.0,6332.0,592.0,10433.5,12433.5,44339.0,9579.5,8531.5,1.0,5440.0,,101.0,0.07361195060875572,0.11041554236373448,-0.0349170141735277,-0.12965066097306138,521.4269500000005
6,-25.127778,27.628889,04-01-2011,125.0,438.0,163.0,-4740.0,5122.0,4984.0,-4376.0,-117.0,-4978.5,22583.0,-497.5,-3682.5,-1702.5,-4990.5,5189.5,7814.0,22583.0,6664.0,5222.0,,2720.5,,-4690.0,0.20810142238713666,0.31214006879758827,-0.04116498535632932,-0.0794308606161072,-1002.7254499999995
7,-25.20639,27.558,04-01-2011,116.62,568.0,69.0,633.5,9985.0,10039.0,1244.5,9619.0,54.0,44583.0,8744.0,2629.0,6600.5,1.5,10466.5,14137.5,44583.0,10315.5,8536.0,,5568.0,,690.5,0.17214219090061147,0.2582079343365253,-0.08714616543381973,-0.15629984051036683,443.5513499999993
8,-24.69514,27.40906,04-01-2011,181.831,583.0,158.0,650.5,10524.0,9921.0,1284.0,9529.0,80.0,45279.0,8948.5,2725.0,6481.0,3.0,10647.0,15543.0,45279.0,11919.5,9642.5,,5568.0,,622.5,0.1925422948555645,0.2888079025606598,-0.06304858320722224,-0.1319435593991807,-528.8783999999996
9,-26.98472222,26.63227778,04-01-2011,196.0,452.0,158.0,303.5,10262.5,9414.0,1237.0,9693.0,77.0,46784.0,9156.0,2652.0,6366.0,274.5,10207.0,13683.0,46784.0,14011.5,11850.5,,5440.0,,123.0,0.14284521099997913,0.21426334252067153,0.0248464250279707,0.011861560959757352,-3907.35415
10,-28.141944,26.417778,04-01-2011,94.718,227.9,132.0,232.5,9679.0,9085.5,1141.0,9719.0,48.5,45407.0,8796.5,2396.0,6665.0,2404.0,9840.0,14391.0,45407.0,13799.5,11265.0,,5440.0,,89.0,0.19576235978396345,0.2936374400199414,4.2593972952827175e-05,-0.020982245792022135,-3561.9371999999994
11,-27.398611,26.614722,04-01-2011,86.8,226.3,114.0,343.0,10126.0,9253.5,1277.0,9792.0,62.0,44909.5,8630.5,2745.0,6223.0,210.5,10247.0,15515.5,44909.5,12823.0,10403.5,,5440.0,,158.5,0.21018661154768636,0.31527376959675535,-0.03814074353493441,-0.09501208603137075,-1838.6511499999997
12,-33.501667,21.624167,04-01-2011,201.0,769.0,74.0,-9999.0,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,,1.0,,-9999.0,,,,,
13,-32.502778,19.535833,04-01-2011,10.387,73.0,10.0,203.0,14613.0,10579.0,1139.0,9522.0,54.0,48033.5,10014.5,2404.5,7154.0,8443.5,13104.0,17653.0,48033.5,19330.0,16984.0,,5440.0,,8.0,0.09421682266162525,0.1413230440239877,0.09185363892239647,0.045345158586377526,-6504.435500000001
14,-25.45963889,28.26430556,04-01-2011,108.94,396.0,82.0,236.0,11096.0,9139.0,379.0,9636.0,176.0,42157.0,7980.5,692.0,8932.0,1058.0,9926.0,13959.0,42157.0,15156.5,12552.5,,5440.0,,8.0,0.11426860906006785,0.17139949312526193,0.06392032502203625,0.04112929539248854,-4771.615000000002
15,-27.495556,26.074722,04-01-2011,67.8,218.6,91.0,292.0,11540.5,9490.5,1357.0,9696.5,81.0,45910.5,8713.0,2958.0,5873.0,738.5,11044.5,17937.5,45910.5,18143.5,14152.5,,5440.0,,199.0,0.21700929506750796,0.32550842139186187,0.03950133071858804,0.0057093761259388595,-5851.706900000002
16,-26.648056,27.089444,05-01-2011,211.0,532.0,62.0,264.0,8963.5,8535.0,1183.0,9836.5,74.0,44131.5,8492.0,2526.0,6536.0,661.5,9597.0,19310.5,44131.5,12954.5,9447.5,,5440.0,,144.0,0.36595458725330693,0.548922173690074,-0.11911340641233033,-0.1969936463660313,-821.9018999999998
17,-26.970278,27.211111,05-01-2011,71.5,248.4,117.0,288.0,11496.0,9671.5,1194.5,9856.0,128.0,43899.0,8437.0,2549.5,6509.5,390.5,11040.0,10218.0,43899.0,7946.5,7735.0,32.0,5504.0,,101.0,-0.058856037579441835,-0.08828202353266251,-0.011364792026848368,-0.12505161166010625,1713.0545000000006
18,-27.38972222,26.46388889,05-01-2011,82.14,255.5,74.0,271.0,11926.0,10130.0,1294.0,9856.0,98.0,44683.5,8575.0,2791.0,6156.0,1207.5,11597.0,11481.0,44683.5,8583.0,8196.5,32.0,5472.0,,210.0,-0.019011406844106463,-0.028516501121435438,-0.026163342830009498,-0.1444377990430622,1800.3081499999985
19,-27.044444,27.005,05-01-2011,83.0,220.9,85.0,258.0,9503.5,8882.5,1206.0,9803.5,93.0,44809.5,8658.0,2570.0,6476.0,1193.0,9908.0,17418.5,44809.5,13987.0,10115.0,,5440.0,,126.0,0.2939974741846817,0.4409880211718823,-0.056445377223019996,-0.10926430083902501,-2214.500249999999
20,-30.830556,26.921389,06-01-2011,62.099,145.0,10.0,-4888.5,4479.0,4189.0,-4484.0,-170.0,-4970.0,22100.0,-665.0,-3943.0,-1474.0,-4492.5,4491.0,5266.5,22100.0,3672.5,3764.5,4.0,2720.5,,-4995.5,0.08080652608896413,0.12120357069567,-0.0740614528312603,-0.17831972256404519,453.8306500000001
21,-27.00222,28.76528,06-01-2011,34.855,114.5,150.0,-9999.0,9947.0,8743.0,944.0,-9999.0,-9999.0,,8762.5,1923.5,7294.0,1386.0,9691.0,13724.0,,13005.5,10754.5,,5440.0,,10.0,0.1595623336572177,0.2393384449654648,0.01068924140512335,-0.026880413026805588,-2984.5224000000007
22,-27.02314,28.59389,06-01-2011,41.408,148.8,152.0,290.5,10129.0,8893.0,933.0,9732.0,,44360.0,8632.0,1897.0,7326.0,193.0,9969.5,11490.5,44360.0,10372.5,9135.0,8.0,5440.0,,9.0,0.06297555447628299,0.09446114708603146,0.0028861440626146507,-0.05113662351918767,-995.8760500000008
23,-30.679722,26.7125,06-01-2011,55.297,138.3,44.0,205.5,11938.0,9235.5,1049.0,9876.0,99.0,43283.0,8372.0,2154.0,7002.0,2042.0,10548.0,13400.0,43283.0,7764.0,7659.0,8.0,5440.0,,9.0,0.05769989738732339,0.08654813820865481,-0.06928845586064364,-0.2663012663012663,2943.85295
24,-30.160091,27.40124,06-01-2011,57.916,167.1,13.0,260.0,10522.5,9063.0,974.0,9719.0,124.0,44619.5,8725.0,1981.0,7212.0,274.5,10060.0,14158.0,44619.5,12037.5,10023.5,,5440.0,,9.0,0.14730252628593424,0.22094931323690287,-0.014438304099954129,-0.08094901796110018,-1504.3777500000006
25,-32.595833,19.009444,06-01-2011,8.621,63.1,19.0,204.0,10903.5,9227.5,1175.5,9714.0,56.0,47629.0,10070.0,2505.5,7112.5,6441.0,10334.0,15218.5,47629.0,14735.0,12208.5,,5440.0,,9.0,0.16518643289181534,0.24777490668963537,0.02380976150305983,-0.016141686280401288,-3855.0191999999997
26,-25.99136,27.84208,10-01-2011,82.432,283.8,32.0,679.5,11898.0,10629.0,1230.0,9677.0,39.0,43996.0,8326.0,2682.0,6310.0,7.0,11771.5,18631.5,43996.0,16495.0,12815.0,,5440.0,,15.0,0.2205571660197514,0.3308303308221422,-0.015046788139488496,-0.060823025351230554,-3399.4257000000016
27,-26.73806,27.59194,10-01-2011,55.3,189.1,105.0,485.5,8961.0,8719.0,1168.0,9856.0,33.0,43734.0,8381.0,2495.5,6561.5,38.0,9167.0,9089.5,43734.0,7963.0,7740.0,36.0,7440.0,,38.0,0.007118916373507659,0.01067807877679907,-0.025466062045634494,-0.06606069491276939,-31.1541500000003
28,-26.45,28.085833,10-01-2011,105.711,635.0,80.0,298.0,12540.0,9502.5,329.0,9670.5,89.5,41467.5,7739.0,590.0,9051.0,178.5,10720.0,15210.0,41467.5,17974.0,14201.0,2.0,5440.0,,9.0,0.09621621621621622,0.1443217239329021,0.10504920644980217,0.08329315332690453,-6416.518949999999
29,-30.86013889,29.07125,10-01-2011,40.861,95.6,10.0,218.0,11634.0,9396.0,935.0,9832.0,31.5,45359.0,9357.5,1912.0,7631.0,747.5,10724.5,14558.0,45359.0,11450.0,10000.5,,5440.0,,21.0,0.11163714111178986,0.16745251503292927,-0.018495684340320593,-0.11950169178714241,-393.16070000000036
