latitude,longitude,sample date,total alkalinity,electrical conductance,dissolved reactive phosphorus,atmos_opacity,atran,blue,cdist,cloud_qa,drad,emis,emsd,green,lwir,nir08,qa,qa_pixel,qa_radsat,red,swir16,swir22,trad,urad,mndwi,ndmi,evi,gcvi,gndvi,green/nir ratio,green/red ratio,msi,nbr,nbr2,ndgi,ndwi,osavi,red/nir ratio,ui (urban index),bsi,ndbi,nvdi,savi,tcwi
-28.760833,17.730278,01-02-2011,128.912,555.0,10.0,8.0,7669.0,9557.0,2447.5,32.0,890.0,9880.0,,11426.0,44344.0,11190.0,172.0,5504.0,,12802.0,7687.5,7645.0,8935.0,1835.0,0.1955947367044225,0.1855383392928079,-0.246853083,-0.020654647,-0.01043509,1.021090259,0.892516794,0.686997319,0.188213432,0.00277189,-0.056793792,0.01043509,-0.077938793,1.144057194,-0.433429777,-0.0062444678864598,-0.1855383392928089,-0.067189063021007,-0.1007814942169428,2757.192849999999
-26.861111,28.884722,01-03-2011,74.72,162.9,163.0,46.0,7957.5,8691.0,476.5,,747.0,9570.5,,9550.0,45396.5,17658.5,213.0,5440.0,,9241.5,13746.5,10574.0,9097.0,1477.5,-0.1801343549460211,0.1245661518866418,2.654870048,0.849057592,0.298013488,0.540816038,1.033382027,0.778463629,0.250934207,0.130445509,0.016416997,-0.298013488,0.36296141,0.523345698,-0.189232706,-0.068132759057512,-0.1245661518866422,0.3128996282527881,0.4693407185740041,-2356.4101500000006
-26.45,28.085833,01-03-2011,89.254,573.0,80.0,9.0,9051.0,9502.5,178.5,2.0,329.0,9670.5,89.5,10720.0,41467.5,15210.0,298.0,5440.0,,12540.0,17974.0,14201.0,7739.0,590.0,-0.2528054645570494,-0.0832931533269042,0.347977948,0.418843284,0.173158504,0.704799474,0.854864434,1.181722551,0.034306892,0.117264957,-0.078245916,-0.173158504,0.111610167,0.824457594,0.011946432,0.1050492064498021,0.0832931533269045,0.0962162162162162,0.1443217239329021,-6416.518949999999
-27.671111,27.236944,01-03-2011,82.0,203.6,101.0,48.0,6476.0,9693.5,381.5,,1198.0,9756.5,96.5,10943.0,46121.0,14887.0,284.0,5440.0,,11237.5,13522.0,11403.0,8990.0,2550.0,-0.1054159002656852,0.0480481537540918,0.949228808,0.360413049,0.15269067,0.735070867,0.973793103,0.908309263,0.132521871,0.085015045,-0.013277428,-0.15269067,0.162046894,0.754853228,-0.118602918,0.0036278881232265,-0.048048153754092,0.1396964535206415,0.2095406698564593,-2437.221200000001
-27.356667,27.286389,01-03-2011,56.1,145.1,151.0,106.5,6521.0,8718.0,930.0,,1187.0,9829.5,95.0,9502.5,44381.0,16828.5,260.0,5440.0,,9290.0,12665.5,9643.0,8547.0,2526.0,-0.1426831468783826,0.1411473520037969,2.62318185,0.770955012,0.278227185,0.564667083,1.022874058,0.75262204,0.271442873,0.135486474,0.011307703,-0.278227185,0.334805078,0.552039695,-0.225015424,-0.0755968169761273,-0.1411473520037973,0.2886268353848804,0.432931965236035,-1434.770050000002
-27.010111,26.698083,01-04-2011,82.2,289.8,192.0,101.0,6332.0,9344.0,592.0,1.0,1245.0,9804.5,67.0,10433.5,44339.0,12433.5,274.0,5440.0,,10728.5,9579.5,8531.5,8492.0,2668.0,0.0426722630290309,0.1296506609730608,0.633781875,0.191690229,0.087462282,0.839144247,0.972503146,0.770458841,0.186119723,0.057865386,-0.013940081,-0.087462282,0.085389273,0.862870471,-0.257815468,-0.0349170141735277,-0.1296506609730613,0.0736119506087557,0.1104155423637344,521.4269500000005
-25.127778,27.628889,01-04-2011,125.0,438.0,163.0,-4690.0,-1702.5,4984.0,-4990.5,,-4376.0,-117.0,-4978.5,5189.5,22583.0,7814.0,-4740.0,2720.5,,5122.0,6664.0,5222.0,-497.5,-3682.5,-0.1243936390095741,0.0794308606161066,5.766923736,0.50573273,0.201830276,0.664128487,1.013178446,0.852828257,0.198833998,0.121319199,0.006546089,-0.201830276,0.241394664,0.655490146,-0.13416471,-0.0411649853563293,-0.0794308606161072,0.2081014223871366,0.3121400687975882,-1002.7254499999996
-25.20639,27.558,01-04-2011,116.62,568.0,69.0,690.5,6600.5,10039.0,1.5,,1244.5,9619.0,54.0,10466.5,44583.0,14137.5,633.5,5568.0,,9985.0,10315.5,8536.0,8744.0,2629.0,0.0072659031854489,0.1562998405103662,-8.34505627,0.350738069,0.149203382,0.740335986,1.048222334,0.729655172,0.247050522,0.094395671,0.023543505,-0.149203382,0.199683617,0.70627763,-0.22434091,-0.0871461654338197,-0.1562998405103668,0.1721421909006114,0.2582079343365253,443.5513499999993
-24.69514,27.40906,01-04-2011,181.831,583.0,158.0,622.5,6481.0,9921.0,3.0,,1284.0,9529.0,80.0,10647.0,45279.0,15543.0,650.5,5568.0,,10524.0,11919.5,9642.5,8948.5,2725.0,-0.0563888950435377,0.1319435593991802,2.931316435,0.459847844,0.186941581,0.685002895,1.011687571,0.766872547,0.23428163,0.105602449,0.005809834,-0.186941581,0.223347691,0.677089365,-0.221574903,-0.0630485832072222,-0.1319435593991807,0.1925422948555645,0.2888079025606598,-528.8783999999996
-26.984722,26.632278,01-04-2011,196.0,452.0,158.0,123.0,6366.0,9414.0,274.5,,1237.0,9693.0,77.0,10207.0,46784.0,13683.0,303.5,5440.0,,10262.5,14011.5,11850.5,9156.0,2652.0,-0.1570906538390067,-0.0118615609597573,1.837397937,0.340550603,0.145500209,0.745962143,0.994591961,1.024007893,0.071768461,0.083558889,-0.002711351,-0.145500209,0.165699338,0.750018271,0.018570448,0.0248464250279707,0.0118615609597573,0.1428452109999791,0.2142633425206715,-3907.35415
