Latitude,Longitude,Sample Date,aet
-28.760833,17.730278,02-01-2011,31.1
-26.861111,28.884722,03-01-2011,53.8
-26.45,28.085833,03-01-2011,60.8
-27.671111,27.236944,03-01-2011,83.200005
-27.356667,27.286389,03-01-2011,77.3
-27.01011111,26.69808333,04-01-2011,98.6
-25.127778,27.628889,04-01-2011,105.5
-25.20639,27.558,04-01-2011,103.700005
-24.69514,27.40906,04-01-2011,111.8
-26.98472222,26.63227778,04-01-2011,98.200005
-28.141944,26.417778,04-01-2011,87.700005
-27.398611,26.614722,04-01-2011,92.700005
-33.501667,21.624167,04-01-2011,15.5
-32.502778,19.535833,04-01-2011,15.400001
-25.45963889,28.26430556,04-01-2011,103.6
-27.495556,26.074722,04-01-2011,94.5
-26.648056,27.089444,05-01-2011,70.5
-26.970278,27.211111,05-01-2011,72.5
-27.38972222,26.46388889,05-01-2011,83.200005
-27.044444,27.005,05-01-2011,75.6
-30.830556,26.921389,06-01-2011,53.100002
-27.00222,28.76528,06-01-2011,37.100002
-27.02314,28.59389,06-01-2011,32.600002
-30.679722,26.7125,06-01-2011,44.4
-30.160091,27.40124,06-01-2011,54.0
-32.595833,19.009444,06-01-2011,52.7
-25.99136,27.84208,10-01-2011,46.7
-26.73806,27.59194,10-01-2011,38.5
-26.45,28.085833,10-01-2011,43.9
-30.86013889,29.07125,10-01-2011,30.1
-27.356667,27.286389,10-01-2011,30.5
-27.01011111,26.69808333,11-01-2011,42.3
-25.73411,27.21422,11-01-2011,54.2
-26.98472222,26.63227778,11-01-2011,42.4
-27.398611,26.614722,11-01-2011,43.2
-27.671111,27.236944,11-01-2011,40.5
-29.160278,26.573333,11-01-2011,28.4
-34.250556,20.9925,11-01-2011,52.8
-25.45963889,28.26430556,11-01-2011,52.2
-25.81048333,27.90955222,12-01-2011,96.1
-27.273889,28.49,12-01-2011,100.1
-27.4275,28.525833,12-01-2011,102.8
-28.883333,27.89,12-01-2011,101.0
-27.00222,28.76528,13-01-2011,91.200005
-27.02314,28.59389,13-01-2011,93.3
-30.534167,24.961944,13-01-2011,42.600002
-28.460833,21.248889,13-01-2011,49.600002
-29.658056,25.973333,14-01-2011,67.700005
-28.760833,17.730278,16-01-2011,1.2
