Latitude,Longitude,Sample Date,def
-28.760833,17.730278,02-01-2011,143.1
-26.861111,28.884722,03-01-2011,70.3
-26.45,28.085833,03-01-2011,66.700005
-27.671111,27.236944,03-01-2011,46.5
-27.356667,27.286389,03-01-2011,51.9
-27.01011111,26.69808333,04-01-2011,0.0
-25.127778,27.628889,04-01-2011,0.0
-25.20639,27.558,04-01-2011,0.0
-24.69514,27.40906,04-01-2011,0.0
-26.98472222,26.63227778,04-01-2011,0.0
-28.141944,26.417778,04-01-2011,6.1
-27.398611,26.614722,04-01-2011,8.2
-33.501667,21.624167,04-01-2011,84.700005
-32.502778,19.535833,04-01-2011,104.5
-25.45963889,28.26430556,04-01-2011,0.0
-27.495556,26.074722,04-01-2011,5.2000003
-26.648056,27.089444,05-01-2011,13.0
-26.970278,27.211111,05-01-2011,9.6
-27.38972222,26.46388889,05-01-2011,0.0
-27.044444,27.005,05-01-2011,6.8
-30.830556,26.921389,06-01-2011,3.9
-27.00222,28.76528,06-01-2011,32.9
-27.02314,28.59389,06-01-2011,39.8
-30.679722,26.7125,06-01-2011,15.400001
-30.160091,27.40124,06-01-2011,3.4
-32.595833,19.009444,06-01-2011,0.0
-25.99136,27.84208,10-01-2011,126.5
-26.73806,27.59194,10-01-2011,140.90001
-26.45,28.085833,10-01-2011,129.0
-30.86013889,29.07125,10-01-2011,107.9
-27.356667,27.286389,10-01-2011,155.3
-27.01011111,26.69808333,11-01-2011,149.40001
-25.73411,27.21422,11-01-2011,128.3
-26.98472222,26.63227778,11-01-2011,149.6
-27.398611,26.614722,11-01-2011,154.2
-27.671111,27.236944,11-01-2011,151.6
-29.160278,26.573333,11-01-2011,170.7
-34.250556,20.9925,11-01-2011,87.4
-25.45963889,28.26430556,11-01-2011,130.6
-25.81048333,27.90955222,12-01-2011,68.0
-27.273889,28.49,12-01-2011,64.200005
-27.4275,28.525833,12-01-2011,60.8
-28.883333,27.89,12-01-2011,63.2
-27.00222,28.76528,13-01-2011,70.4
-27.02314,28.59389,13-01-2011,69.8
-30.534167,24.961944,13-01-2011,162.40001
-28.460833,21.248889,13-01-2011,195.1
-29.658056,25.973333,14-01-2011,119.200005
-28.760833,17.730278,16-01-2011,256.30002
-25.513889,31.224444,17-01-2011,47.2
-26.861111,28.884722,17-01-2011,75.8
-31.554722,29.245556,17-01-2011,8.400001
-28.058889,30.373611,17-01-2011,63.0
-25.127778,27.628889,18-01-2011,62.2
-25.20639,27.558,18-01-2011,62.0
-24.69514,27.40906,18-01-2011,57.3
-25.681111,31.783333,18-01-2011,86.1
-27.802778,28.768333,18-01-2011,56.3
-27.398611,26.614722,18-01-2011,111.0
-31.104278,29.399722,18-01-2011,18.4
-31.396,29.2651,18-01-2011,15.0
-33.38056,19.30167,18-01-2011,179.90001
-33.31388889,19.07472222,18-01-2011,190.8
-27.495556,26.074722,18-01-2011,117.9
-24.39619444,27.08983333,19-01-2011,76.6
-26.970278,27.211111,19-01-2011,82.1
-26.880278,26.965,19-01-2011,85.9
-27.273889,28.49,19-01-2011,64.200005
-27.3,28.586944,19-01-2011,64.3
-27.044444,27.005,19-01-2011,89.5
-30.568333,29.422778,19-01-2011,36.2
-30.570833,29.150556,19-01-2011,34.8
-34.031944,22.053333,19-01-2011,136.90001
-33.13083,18.86278,19-01-2011,194.40001
-33.7075,18.97444444,19-01-2011,179.1
-25.57877778,29.12747222,19-01-2011,63.8
-26.006389,29.253889,20-01-2011,59.7
-27.02314,28.59389,20-01-2011,69.8
-30.679722,26.7125,20-01-2011,116.0
-28.460833,21.248889,20-01-2011,195.1
