Latitude,Longitude,Sample Date,tmax
-28.760833,17.730278,02-01-2011,36.1
-26.861111,28.884722,03-01-2011,27.16
-26.45,28.085833,03-01-2011,27.519999
-27.671111,27.236944,03-01-2011,28.869999
-27.356667,27.286389,03-01-2011,28.67
-27.01011111,26.69808333,04-01-2011,24.18
-25.127778,27.628889,04-01-2011,27.17
-25.20639,27.558,04-01-2011,27.0
-24.69514,27.40906,04-01-2011,27.74
-26.98472222,26.63227778,04-01-2011,24.35
-28.141944,26.417778,04-01-2011,23.88
-27.398611,26.614722,04-01-2011,24.8
-33.501667,21.624167,04-01-2011,24.55
-32.502778,19.535833,04-01-2011,27.06
-25.45963889,28.26430556,04-01-2011,26.4
-27.495556,26.074722,04-01-2011,24.73
-26.648056,27.089444,05-01-2011,21.92
-26.970278,27.211111,05-01-2011,21.859999
-27.38972222,26.46388889,05-01-2011,22.81
-27.044444,27.005,05-01-2011,21.949999
-30.830556,26.921389,06-01-2011,14.589999
-27.00222,28.76528,06-01-2011,17.38
-27.02314,28.59389,06-01-2011,17.869999
-30.679722,26.7125,06-01-2011,15.74
-30.160091,27.40124,06-01-2011,14.62
-32.595833,19.009444,06-01-2011,19.279999
-25.99136,27.84208,10-01-2011,28.539999
-26.73806,27.59194,10-01-2011,28.34
-26.45,28.085833,10-01-2011,27.91
-30.86013889,29.07125,10-01-2011,25.609999
-27.356667,27.286389,10-01-2011,29.06
-27.01011111,26.69808333,11-01-2011,30.09
-25.73411,27.21422,11-01-2011,29.99
-26.98472222,26.63227778,11-01-2011,30.16
-27.398611,26.614722,11-01-2011,30.63
-27.671111,27.236944,11-01-2011,30.029999
-29.160278,26.573333,11-01-2011,29.3
-34.250556,20.9925,11-01-2011,24.189999
-25.45963889,28.26430556,11-01-2011,31.4
-25.81048333,27.90955222,12-01-2011,28.97
-27.273889,28.49,12-01-2011,27.599998
-27.4275,28.525833,12-01-2011,27.46
-28.883333,27.89,12-01-2011,26.349998
-27.00222,28.76528,13-01-2011,27.63
-27.02314,28.59389,13-01-2011,27.8
-30.534167,24.961944,13-01-2011,29.9
-28.460833,21.248889,13-01-2011,33.62
-29.658056,25.973333,14-01-2011,28.289999
-28.760833,17.730278,16-01-2011,34.98
-25.513889,31.224444,17-01-2011,28.0
-26.861111,28.884722,17-01-2011,27.43
-31.554722,29.245556,17-01-2011,24.68
-28.058889,30.373611,17-01-2011,28.029999
-25.127778,27.628889,18-01-2011,31.17
-25.20639,27.558,18-01-2011,31.109999
-24.69514,27.40906,18-01-2011,31.609999
-25.681111,31.783333,18-01-2011,29.599998
-27.802778,28.768333,18-01-2011,26.91
-27.398611,26.614722,18-01-2011,29.939999
-31.104278,29.399722,18-01-2011,25.75
-31.396,29.2651,18-01-2011,25.96
-33.38056,19.30167,18-01-2011,26.59
-33.31388889,19.07472222,18-01-2011,29.13
-27.495556,26.074722,18-01-2011,29.939999
-24.39619444,27.08983333,19-01-2011,31.679998
-26.970278,27.211111,19-01-2011,28.859999
-26.880278,26.965,19-01-2011,29.15
-27.273889,28.49,19-01-2011,27.599998
-27.3,28.586944,19-01-2011,27.63
-27.044444,27.005,19-01-2011,29.25
-30.568333,29.422778,19-01-2011,24.699999
-30.570833,29.150556,19-01-2011,24.51
-34.031944,22.053333,19-01-2011,25.33
-33.13083,18.86278,19-01-2011,29.59
-33.7075,18.97444444,19-01-2011,28.39
-25.57877778,29.12747222,19-01-2011,29.429998
-26.006389,29.253889,20-01-2011,27.09
-27.02314,28.59389,20-01-2011,27.8
-30.679722,26.7125,20-01-2011,28.599998
-28.460833,21.248889,20-01-2011,33.62
-30.77586667,29.03221667,20-01-2011,26.0
-24.925278,29.324444,21-01-2011,30.97
