Latitude,Longitude,Sample Date,tmin
-28.760833,17.730278,02-01-2011,22.689999
-26.861111,28.884722,03-01-2011,13.219999
-26.45,28.085833,03-01-2011,14.09
-27.671111,27.236944,03-01-2011,14.639999
-27.356667,27.286389,03-01-2011,14.69
-27.01011111,26.69808333,04-01-2011,9.809999
-25.127778,27.628889,04-01-2011,12.62
-25.20639,27.558,04-01-2011,12.5199995
-24.69514,27.40906,04-01-2011,13.49
-26.98472222,26.63227778,04-01-2011,9.98
-28.141944,26.417778,04-01-2011,8.78
-27.398611,26.614722,04-01-2011,9.87
-33.501667,21.624167,04-01-2011,9.33
-32.502778,19.535833,04-01-2011,10.92
-25.45963889,28.26430556,04-01-2011,12.04
-27.495556,26.074722,04-01-2011,9.17
-26.648056,27.089444,05-01-2011,5.92
-26.970278,27.211111,05-01-2011,6.14
-27.38972222,26.46388889,05-01-2011,6.98
-27.044444,27.005,05-01-2011,6.25
-30.830556,26.921389,06-01-2011,-0.94
-27.00222,28.76528,06-01-2011,-2.55
-27.02314,28.59389,06-01-2011,-2.26
-30.679722,26.7125,06-01-2011,-0.61
-30.160091,27.40124,06-01-2011,-0.44
-32.595833,19.009444,06-01-2011,6.42
-25.99136,27.84208,10-01-2011,11.05
-26.73806,27.59194,10-01-2011,10.179999
-26.45,28.085833,10-01-2011,10.01
-30.86013889,29.07125,10-01-2011,10.95
-27.356667,27.286389,10-01-2011,10.19
-27.01011111,26.69808333,11-01-2011,12.559999
-25.73411,27.21422,11-01-2011,12.88
-26.98472222,26.63227778,11-01-2011,12.74
-27.398611,26.614722,11-01-2011,12.32
-27.671111,27.236944,11-01-2011,11.679999
-29.160278,26.573333,11-01-2011,9.62
-34.250556,20.9925,11-01-2011,12.67
-25.45963889,28.26430556,11-01-2011,14.759999
-25.81048333,27.90955222,12-01-2011,16.56
-27.273889,28.49,12-01-2011,14.009999
-27.4275,28.525833,12-01-2011,13.75
-28.883333,27.89,12-01-2011,12.929999
-27.00222,28.76528,13-01-2011,14.11
-27.02314,28.59389,13-01-2011,14.2
-30.534167,24.961944,13-01-2011,13.13
-28.460833,21.248889,13-01-2011,16.89
-29.658056,25.973333,14-01-2011,12.61
-28.760833,17.730278,16-01-2011,19.64
-25.513889,31.224444,17-01-2011,17.51
-26.861111,28.884722,17-01-2011,14.009999
-31.554722,29.245556,17-01-2011,16.57
-28.058889,30.373611,17-01-2011,14.679999
-25.127778,27.628889,18-01-2011,17.97
-25.20639,27.558,18-01-2011,17.91
-24.69514,27.40906,18-01-2011,18.789999
-25.681111,31.783333,18-01-2011,18.289999
-27.802778,28.768333,18-01-2011,13.11
-27.398611,26.614722,18-01-2011,15.61
-31.104278,29.399722,18-01-2011,16.289999
-31.396,29.2651,18-01-2011,17.63
-33.38056,19.30167,18-01-2011,11.87
-33.31388889,19.07472222,18-01-2011,14.309999
-27.495556,26.074722,18-01-2011,14.9
-24.39619444,27.08983333,19-01-2011,18.75
-26.970278,27.211111,19-01-2011,15.42
-26.880278,26.965,19-01-2011,15.61
-27.273889,28.49,19-01-2011,14.009999
-27.3,28.586944,19-01-2011,13.929999
-27.044444,27.005,19-01-2011,15.57
-30.568333,29.422778,19-01-2011,12.12
-30.570833,29.150556,19-01-2011,11.94
-34.031944,22.053333,19-01-2011,14.79
-33.13083,18.86278,19-01-2011,14.95
-33.7075,18.97444444,19-01-2011,14.78
-25.57877778,29.12747222,19-01-2011,15.799999
-26.006389,29.253889,20-01-2011,14.0199995
-27.02314,28.59389,20-01-2011,14.2
-30.679722,26.7125,20-01-2011,12.28
-28.460833,21.248889,20-01-2011,16.89
-30.77586667,29.03221667,20-01-2011,14.53
-24.925278,29.324444,21-01-2011,17.51
-28.460833,21.248889,21-01-2011,16.89
-24.679167,30.8025,24-01-2011,15.07
-25.99136,27.84208,24-01-2011,15.62
-25.49037,30.6986,24-01-2011,15.66
-26.970278,27.211111,24-01-2011,15.42
-27.671111,27.236944,24-01-2011,15.049999
-27.356667,27.286389,24-01-2011,15.32
-27.01011111,26.69808333,25-01-2011,15.61
-26.98472222,26.63227778,25-01-2011,15.679999
-27.398611,26.614722,25-01-2011,15.61
-33.818056,19.694722,25-01-2011,14.099999
-25.45963889,28.26430556,25-01-2011,16.63
-33.897778,20.012778,25-01-2011,14.559999
-25.81048333,27.90955222,26-01-2011,16.56
-34.065833,20.404167,26-01-2011,15.91
-24.058889,31.237222,26-01-2011,19.869999
-26.648056,27.089444,26-01-2011,15.219999
-26.880278,26.965,26-01-2011,15.61
-27.273889,28.49,26-01-2011,14.009999
-27.044444,27.005,26-01-2011,15.57
-34.092222,21.295278,26-01-2011,14.95
-27.02314,28.59389,27-01-2011,14.2
-26.73806,27.59194,27-01-2011,15.17
-28.760833,17.730278,30-01-2011,19.64
-26.861111,28.884722,31-01-2011,14.009999
-26.73806,27.59194,31-01-2011,15.17
-25.127778,27.628889,01-02-2011,17.97
-24.69514,27.40906,01-02-2011,18.789999
-27.363611,31.783333,01-02-2011,18.93
-27.802778,28.768333,01-02-2011,13.11
-29.160278,26.573333,01-02-2011,13.07
-34.329722,18.990278,01-02-2011,13.58
-25.20639,27.558,02-02-2011,17.91
-23.281,30.54305556,03-02-2011,19.76
-28.801278,31.955389,03-02-2011,19.64
-27.00222,28.76528,03-02-2011,14.11
-27.02314,28.59389,03-02-2011,14.2
-27.3,28.586944,03-02-2011,13.929999
-30.679722,26.7125,03-02-2011,12.28
-28.460833,21.248889,03-02-2011,16.89
-28.460833,21.248889,04-02-2011,16.89
-29.140556,31.391944,07-02-2011,19.279999
-25.99136,27.84208,07-02-2011,15.62
-24.058889,31.237222,07-02-2011,19.869999
-26.73806,27.59194,07-02-2011,15.17
-30.86013889,29.07125,07-02-2011,14.799999
-27.356667,27.286389,07-02-2011,15.32
-28.058889,30.373611,07-02-2011,14.679999
-27.01011111,26.69808333,08-02-2011,15.61
-27.169444,29.233889,08-02-2011,13.59
-26.98472222,26.63227778,08-02-2011,15.679999
-27.398611,26.614722,08-02-2011,15.61
-27.573056,24.746389,08-02-2011,15.66
-33.501667,21.624167,08-02-2011,11.98
-32.502778,19.535833,08-02-2011,13.57
-25.45963889,28.26430556,08-02-2011,16.63
-26.970278,27.211111,09-02-2011,15.42
-27.273889,28.49,09-02-2011,14.009999
-28.69485,28.23487,09-02-2011,12.639999
-28.883333,27.89,09-02-2011,12.929999
-27.02314,28.59389,10-02-2011,14.2
-30.679722,26.7125,10-02-2011,12.28
-30.534167,24.961944,10-02-2011,13.13
-34.031944,22.053333,10-02-2011,14.79
-34.039722,22.133333,10-02-2011,15.12
-32.595833,19.009444,10-02-2011,13.759999
-28.801278,31.955389,11-02-2011,19.64
-29.658056,25.973333,11-02-2011,12.61
-28.068333,31.55,11-02-2011,19.76
-28.760833,17.730278,13-02-2011,19.64
-29.7775,29.470833,14-02-2011,11.82
-29.987778,29.851667,14-02-2011,13.759999
-29.744167,29.905833,14-02-2011,14.46
-26.861111,28.884722,14-02-2011,14.009999
-26.45,28.085833,14-02-2011,14.849999
-31.396,29.2651,14-02-2011,17.63
-25.20639,27.558,15-02-2011,17.91
-24.69514,27.40906,15-02-2011,18.789999
-26.006389,29.253889,15-02-2011,14.0199995
-27.802778,28.768333,15-02-2011,13.11
-27.398611,26.614722,15-02-2011,15.61
