,Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,qa,red,blue,drad,emis,emsd,lwir,trad,urad,atran,cdist,green,nir08,lwir.1,swir16,swir22,cloud_qa,qa_pixel,qa_radsat,atmos_opacity
0,-28.760833,17.730278,02-01-2011,128.912,555.0,10.0,172.0,12802.0,9557.0,890.0,9880.0,,44344.0,8935.0,1835.0,7669.0,2447.5,11426.0,11190.0,44344.0,7687.5,7645.0,32.0,5504.0,,8.0
1,-26.861111,28.884722,03-01-2011,74.72,162.9,163.0,213.0,9241.5,8691.0,747.0,9570.5,,45396.5,9097.0,1477.5,7957.5,476.5,9550.0,17658.5,45396.5,13746.5,10574.0,,5440.0,,46.0
2,-26.45,28.085833,03-01-2011,89.254,573.0,80.0,298.0,12540.0,9502.5,329.0,9670.5,89.5,41467.5,7739.0,590.0,9051.0,178.5,10720.0,15210.0,41467.5,17974.0,14201.0,2.0,5440.0,,9.0
3,-27.671111,27.236944,03-01-2011,82.0,203.6,101.0,284.0,11237.5,9693.5,1198.0,9756.5,96.5,46121.0,8990.0,2550.0,6476.0,381.5,10943.0,14887.0,46121.0,13522.0,11403.0,,5440.0,,48.0
4,-27.356667,27.286389,03-01-2011,56.1,145.1,151.0,260.0,9290.0,8718.0,1187.0,9829.5,95.0,44381.0,8547.0,2526.0,6521.0,930.0,9502.5,16828.5,44381.0,12665.5,9643.0,,5440.0,,106.5
5,-27.01011111,26.69808333,04-01-2011,82.2,289.8,192.0,274.0,10728.5,9344.0,1245.0,9804.5,67.0,44339.0,8492.0,2668.0,6332.0,592.0,10433.5,12433.5,44339.0,9579.5,8531.5,1.0,5440.0,,101.0
6,-25.127778,27.628889,04-01-2011,125.0,438.0,163.0,-4740.0,5122.0,4984.0,-4376.0,-117.0,-4978.5,22583.0,-497.5,-3682.5,-1702.5,-4990.5,5189.5,7814.0,22583.0,6664.0,5222.0,,2720.5,,-4690.0
7,-25.20639,27.558,04-01-2011,116.62,568.0,69.0,633.5,9985.0,10039.0,1244.5,9619.0,54.0,44583.0,8744.0,2629.0,6600.5,1.5,10466.5,14137.5,44583.0,10315.5,8536.0,,5568.0,,690.5
8,-24.69514,27.40906,04-01-2011,181.831,583.0,158.0,650.5,10524.0,9921.0,1284.0,9529.0,80.0,45279.0,8948.5,2725.0,6481.0,3.0,10647.0,15543.0,45279.0,11919.5,9642.5,,5568.0,,622.5
9,-26.98472222,26.63227778,04-01-2011,196.0,452.0,158.0,303.5,10262.5,9414.0,1237.0,9693.0,77.0,46784.0,9156.0,2652.0,6366.0,274.5,10207.0,13683.0,46784.0,14011.5,11850.5,,5440.0,,123.0
10,-28.141944,26.417778,04-01-2011,94.718,227.9,132.0,232.5,9679.0,9085.5,1141.0,9719.0,48.5,45407.0,8796.5,2396.0,6665.0,2404.0,9840.0,14391.0,45407.0,13799.5,11265.0,,5440.0,,89.0
11,-27.398611,26.614722,04-01-2011,86.8,226.3,114.0,343.0,10126.0,9253.5,1277.0,9792.0,62.0,44909.5,8630.5,2745.0,6223.0,210.5,10247.0,15515.5,44909.5,12823.0,10403.5,,5440.0,,158.5
12,-33.501667,21.624167,04-01-2011,201.0,769.0,74.0,-9999.0,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,,1.0,,-9999.0
13,-32.502778,19.535833,04-01-2011,10.387,73.0,10.0,203.0,14613.0,10579.0,1139.0,9522.0,54.0,48033.5,10014.5,2404.5,7154.0,8443.5,13104.0,17653.0,48033.5,19330.0,16984.0,,5440.0,,8.0
