Latitude,Longitude,Sample Date,atmos_opacity,green,emis,trad,atran,swir16,nir08,red,blue,drad,emsd,cdist,urad,lwir,swir22
-27.671111,27.236944,18-08-2011,-9999.0,,-9999.0,-9999.0,-9999.0,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
-27.902778,24.615556,18-08-2011,8.0,9975.0,9716.0,7999.0,9377.0,15336.5,13254.5,10684.5,8935.0,237.0,78.0,998.5,405.0,41821.0,13414.0
-28.376944,24.303056,18-08-2011,9.0,10384.0,9724.5,7794.5,9290.0,14884.5,13126.5,11299.0,9534.0,264.0,93.5,451.0,460.0,41353.5,12547.5
-29.658056,25.973333,18-08-2011,9.0,10561.5,9687.0,7571.5,8855.0,14776.0,12702.5,11258.5,9734.0,387.0,69.0,484.0,708.0,41028.5,12994.5
-30.534167,24.961944,18-08-2011,9.0,10278.5,9758.0,7534.5,8875.0,11130.5,10783.0,10505.0,9510.0,378.0,40.0,1794.5,692.0,40788.0,10121.0
-22.225556,29.990556,22-08-2011,8.0,9406.0,9876.0,8390.5,8877.0,7851.0,8492.0,9104.0,8953.0,452.0,,68.0,850.0,42429.0,7819.0
-24.282222,28.090278,22-08-2011,8.0,10117.5,9714.0,8911.0,9508.0,17024.0,14176.0,11099.0,9380.0,200.0,103.0,1340.5,330.0,43955.5,13738.0
-25.99136,27.84208,22-08-2011,9.0,9472.5,9637.0,8390.5,9579.0,14456.5,12698.0,10356.0,8773.0,170.0,39.0,97.5,271.0,42741.0,11539.0
-29.380556,30.2775,22-08-2011,174.5,9491.0,9707.0,9059.5,8667.5,14857.5,12540.5,10014.0,8897.5,523.5,94.0,343.5,992.5,44574.5,12564.0
-26.861111,28.884722,22-08-2011,79.0,10884.0,9570.5,8297.0,9082.5,17742.5,14151.0,12114.0,9966.0,338.5,,454.0,609.0,42992.0,14654.0
-26.45,28.085833,22-08-2011,8.0,10725.0,9671.5,8669.0,9597.0,18207.5,14945.0,12459.0,9655.0,161.0,89.5,220.5,255.0,43421.0,14532.0
-30.830556,26.921389,23-08-2011,8.0,10028.0,9720.0,7162.5,9512.0,10545.0,10340.5,10198.0,9298.0,187.0,59.0,177.0,309.0,39625.5,9453.0
-25.73411,27.21422,23-08-2011,9.0,10190.0,9685.0,9097.0,9447.0,16235.5,13843.0,11568.0,9320.0,222.0,38.0,334.5,374.0,44503.0,13811.0
-29.380556,30.2775,23-08-2011,174.5,9491.0,9707.0,9059.5,8667.5,14857.5,12540.5,10014.0,8897.5,523.5,94.0,343.5,992.5,44574.5,12564.0
-28.141944,26.417778,23-08-2011,9.0,9950.5,9707.0,8576.5,9389.0,15041.5,14796.0,10430.0,8996.5,241.0,48.5,779.5,411.0,43182.0,12545.0
-30.679722,26.7125,23-08-2011,8.0,14857.5,9682.5,5618.0,8792.0,14408.0,15924.0,15171.0,14838.5,405.0,99.0,,744.0,35158.0,12042.0
-33.501667,21.624167,23-08-2011,17.0,9929.5,9626.0,8166.5,8954.0,11875.0,11846.0,9954.5,9011.5,409.0,65.0,666.5,765.0,42327.0,9983.5
-25.57877778,29.12747222,23-08-2011,8.0,10233.5,9384.0,7906.5,9560.0,16093.5,13550.0,11336.5,9330.5,179.0,,2566.5,289.0,42149.0,13114.0
-29.161667,23.696389,24-08-2011,49.5,11550.0,9876.0,7608.5,9151.0,7700.0,8726.0,12071.0,9811.5,338.0,90.0,238.0,612.0,40429.5,7609.0
-34.065833,20.404167,24-08-2011,9.0,8387.0,9793.0,7479.0,8739.0,8708.0,10636.0,8231.0,7859.0,460.0,82.0,187.0,864.0,40277.0,8024.0
-23.23572222,27.717,24-08-2011,8.0,10394.5,9612.0,9469.0,7514.0,14032.0,13144.5,11150.0,9577.5,950.0,131.0,1722.0,1946.0,46257.0,12114.0
-28.404444,30.013056,24-08-2011,9.0,9712.5,9861.0,8390.5,8844.5,15822.0,12531.0,10618.0,9192.0,432.0,23.0,2359.0,804.0,42646.0,12750.5
-27.38972222,26.46388889,24-08-2011,8.0,10679.5,9600.0,8558.0,9435.0,13497.0,12531.0,11587.5,9533.0,227.0,98.0,816.5,382.0,43370.0,12132.0
-27.398611,26.614722,24-08-2011,8.0,9993.0,9763.0,8725.0,9436.0,14245.5,13482.5,10734.5,8990.0,226.0,62.0,41.5,381.0,43438.5,12485.5
-27.044444,27.005,24-08-2011,8.0,11061.0,9728.0,9302.0,9454.0,20149.0,15642.5,12945.0,9692.0,219.0,93.0,537.0,368.0,44822.0,15460.0
-29.033333,23.983333,24-08-2011,-9999.0,,-9999.0,-9999.0,-9999.0,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
-33.818056,19.694722,24-08-2011,8.0,8543.0,9577.0,7422.5,9087.0,10099.0,10577.5,8626.5,7957.0,341.0,73.0,965.5,612.0,40466.5,8827.5
-34.075556,20.145556,24-08-2011,9.0,9825.0,9603.0,7851.0,8764.0,15554.0,16025.5,10224.5,8859.0,452.0,59.0,772.0,847.0,41762.0,12436.0
-28.058889,30.373611,24-08-2011,23.0,10057.5,9657.0,8222.5,8875.0,14050.5,12469.0,10705.5,9296.5,422.0,96.0,2602.0,782.0,42589.0,11817.5
-27.4,26.624722,24-08-2011,8.0,10203.5,9747.5,8669.0,9436.0,15255.5,13854.0,10925.0,9178.0,226.0,58.5,70.5,382.0,43297.0,13207.0
-27.01011111,26.69808333,25-08-2011,8.0,9208.0,9723.0,8409.0,9451.0,11439.5,10792.5,9294.5,8623.0,221.0,67.0,103.5,370.0,42757.0,10452.5
-22.225556,29.990556,25-08-2011,8.0,9406.0,9876.0,8390.5,8877.0,7851.0,8492.0,9104.0,8953.0,452.0,,68.0,850.0,42429.0,7819.0
-22.91028,29.61111,25-08-2011,8.0,10151.0,-9999.0,8632.0,9134.0,13250.0,13335.0,10618.0,9286.0,352.0,-9999.0,199.5,638.0,,11795.5
-24.925278,29.324444,25-08-2011,-9999.0,,-9999.0,-9999.0,-9999.0,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
-30.398056,30.601944,25-08-2011,153.0,9607.0,-9999.0,8520.0,7878.0,11837.5,15038.0,9451.0,8879.0,841.5,-9999.0,644.5,1720.0,,9600.0
-30.27402,30.69602,25-08-2011,136.0,10225.0,-9999.0,8855.0,7781.0,13921.5,14805.5,10312.5,9460.5,860.0,-9999.0,360.5,1775.0,,11473.0
-26.648056,27.089444,25-08-2011,8.0,10787.0,9767.0,9041.5,9474.0,19134.0,15866.0,12231.0,9457.0,212.0,74.0,380.5,354.0,44170.5,15161.0
-26.970278,27.211111,25-08-2011,8.0,8522.5,9876.0,8111.0,9462.0,7912.5,8393.0,8329.5,8087.5,217.0,128.0,1615.0,363.5,41727.0,7778.0
-26.880278,26.965,25-08-2011,8.0,10335.0,9745.0,9004.0,9456.0,17528.0,15050.0,11493.0,9298.0,219.0,118.0,605.0,368.0,44137.0,13965.5
-27.38972222,26.46388889,25-08-2011,8.0,10679.5,9600.0,8558.0,9435.0,13497.0,12531.0,11587.5,9533.0,227.0,98.0,816.5,382.0,43370.0,12132.0
-23.763056,27.908611,25-07-2014,9.0,9015.0,9762.5,8316.0,9043.0,11915.5,11942.0,9306.5,8553.0,367.0,110.0,1974.5,674.0,42530.0,9980.0
-23.763056,27.908611,13-08-2014,-9999.0,,-9999.0,-1000.0,-1323.5,,,,,-4547.5,-9999.0,-9999.0,-4068.5,,
-26.98472222,26.63227778,25-08-2011,8.0,10864.0,9703.0,9078.0,9456.0,17782.0,15621.0,11976.0,9625.0,219.0,77.0,252.5,368.0,44391.0,14257.0
-29.028629,24.638389,25-08-2011,40.0,10099.0,9669.0,8632.0,9163.0,13413.0,13151.0,10710.0,9123.5,330.0,61.0,51.0,596.0,43295.0,11866.0
-23.763056,27.908611,22-12-2014,,10068.5,9766.0,9440.0,6972.5,16661.5,14647.5,10964.0,8782.5,1119.5,110.0,,2333.0,,13962.5
-33.897778,20.012778,25-08-2011,9.0,8417.0,9687.0,7367.0,8858.0,9293.0,11583.0,8586.0,8034.0,421.0,42.0,264.0,784.0,40237.0,8329.0
-29.641944,30.6875,26-08-2011,197.0,9392.5,-9999.0,8558.0,8038.5,12079.5,13659.5,9297.5,8749.0,775.0,-9999.0,2286.5,1561.5,,9984.0
-27.937778,31.209444,26-08-2011,52.0,9647.5,-9999.0,8873.5,8354.5,14076.5,12837.5,10028.0,9174.0,648.5,-9999.0,2581.5,1279.0,,11867.5
-27.671111,27.236944,26-08-2011,-9999.0,,-9999.0,-9999.0,-9999.0,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,
-27.573056,24.746389,26-08-2011,10.0,9864.0,9673.0,9078.0,9218.0,14028.0,12137.5,10430.5,9068.5,314.0,60.0,719.5,564.0,44456.5,12262.5
-23.763056,27.908611,19-08-2015,,9235.5,9757.5,9281.0,8109.0,13913.0,12373.0,10085.5,8418.0,738.0,110.0,1851.5,1468.5,,11708.5
