Latitude,Longitude,Sample Date,blue,drad,red,green,urad,lwir,emsd,emis,trad,atran,swir16,atmos_opacity,swir22,nir08,cdist
-26.970278,27.211111,11-04-2012,8349.0,799.0,8537.0,8804.5,1594.5,43281.5,128.0,9876.0,8595.0,7908.0,7894.0,8.0,7733.0,8591.0,1589.0
-28.141944,26.417778,11-04-2012,8577.0,773.0,9353.0,9252.0,1542.0,45641.0,48.5,9712.0,9413.0,7985.0,14198.0,12.0,11479.0,14475.5,781.5
-28.116667,26.725278,11-04-2012,8712.0,764.5,9690.5,9474.0,1521.0,45733.0,39.0,9708.0,9413.0,8011.5,14307.0,9.0,11368.0,14593.0,669.0
-29.615556,27.065278,11-04-2012,9709.0,563.0,11021.5,10638.5,1074.0,42150.5,71.0,9611.0,7943.5,8412.0,13021.0,36.0,11106.0,13827.5,894.5
-34.250556,20.9925,11-04-2012,,-9999.0,,,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,-9999.0,,,-9999.0
-28.7115,24.07288889,12-04-2012,9073.0,812.0,10037.0,9921.0,1631.0,43189.0,72.0,9650.0,8260.0,7663.0,12111.5,9.0,10357.5,12872.0,2609.5
-28.801278,31.955389,12-04-2012,8574.5,667.0,9509.5,9488.0,1315.0,42211.0,18.0,9803.5,8074.0,8104.0,12881.5,28.0,10097.0,15794.0,552.5
-28.75,30.442778,12-04-2012,,-9999.0,,,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,-9999.0,,,-9999.0
-29.161667,30.629722,12-04-2012,9036.0,377.0,9686.5,10019.5,687.0,42111.5,71.0,9825.5,8092.5,8906.5,14670.0,31.0,10799.5,17916.5,283.0
-27.38972222,26.46388889,12-04-2012,9462.5,812.0,10737.5,10507.5,1622.0,44863.5,98.0,9634.5,9004.0,7859.0,10415.5,26.0,9625.5,10675.0,405.0
-28.1175,26.719444,12-04-2012,9019.0,766.0,10307.5,9852.0,1525.0,46029.5,54.0,9699.0,9506.5,8007.0,14033.0,9.0,11980.5,13560.5,663.5
-28.116667,26.725278,12-04-2012,8712.0,764.5,9690.5,9474.0,1521.0,45733.0,39.0,9708.0,9413.0,8011.5,14307.0,9.0,11368.0,14593.0,669.0
-27.398611,26.614722,12-04-2012,12379.5,810.0,13153.5,12980.0,1618.0,36669.0,62.0,9771.5,6437.0,7869.0,15105.5,9.0,12580.0,17806.0,
-27.671111,27.236944,12-04-2012,,-9999.0,,,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,-9999.0,,,-9999.0
-28.376944,24.303056,12-04-2012,8779.0,786.5,9710.0,9699.0,1569.5,42775.0,63.0,9724.5,8204.0,7762.5,11675.5,9.0,10037.0,12732.0,450.0
-29.615556,27.065278,12-04-2012,9709.0,563.0,11021.5,10638.5,1074.0,42150.5,71.0,9611.0,7943.5,8412.0,13021.0,36.0,11106.0,13827.5,894.5
-33.31388889,19.07472222,12-04-2012,8274.5,631.0,9085.0,8908.0,1237.5,42993.5,55.0,9712.0,8483.0,8409.0,11545.0,9.0,9863.0,12692.5,404.5
-25.49037,30.6986,13-04-2012,8267.0,856.0,8770.0,8950.0,1749.0,44098.5,,9587.0,8706.0,7627.0,11921.5,34.0,9470.0,14190.0,514.5
-27.573056,24.746389,13-04-2012,10421.0,833.0,11777.5,11320.5,1670.0,44421.5,68.0,9673.0,8762.5,7674.0,17514.5,163.0,14233.5,17422.5,13.0
-27.902778,24.615556,13-04-2012,9828.0,840.0,10682.5,10889.0,1683.0,43140.0,78.0,9716.0,8353.0,7659.0,16637.0,304.5,12686.0,18639.0,34.0
-33.7075,18.97444444,13-04-2012,4059.0,-4662.0,4326.0,4429.0,-4333.5,21821.0,-4952.0,-183.5,-683.5,-866.0,4896.5,-4995.0,4288.0,5261.0,-4966.0
-28.760833,17.730278,15-04-2012,,-9999.0,,,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,-9999.0,,,-9999.0
-25.99136,27.84208,16-04-2012,8941.5,658.0,9538.5,9646.0,1277.5,43975.0,39.0,9676.0,8632.0,8159.0,14216.0,11.0,10915.5,15950.0,25.5
-22.935,28.004167,17-04-2012,4374.0,620.5,4753.5,4856.5,1207.0,21624.5,-4967.0,-223.0,8873.5,8423.0,3895.0,-4995.5,3797.5,4413.0,-4429.5
-22.91028,29.61111,17-04-2012,9117.5,643.0,10464.0,9985.0,1262.0,,-9999.0,-9999.0,8483.0,8289.0,13432.0,9.0,10955.5,14293.0,215.5
-24.058889,31.237222,17-04-2012,,-9999.0,,,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,-9999.0,,,-9999.0
-25.681111,31.783333,17-04-2012,8926.0,575.0,10242.0,10059.0,1114.0,44326.0,,9743.5,8930.0,8446.0,12452.5,9.0,11144.5,13907.5,712.0
-25.67386,31.57527,17-04-2012,8179.0,553.0,8690.0,9099.0,1066.0,43284.5,63.0,9852.0,8595.0,8507.5,12718.0,9.0,9630.0,17367.5,661.5
-28.735556,29.820556,17-04-2012,4459.5,-4593.0,4560.5,4767.0,-4183.0,20694.5,-4990.5,-163.0,-1093.0,-1163.0,3855.0,-4965.0,3750.0,4492.5,-4942.0
-26.861111,28.884722,17-04-2012,9907.0,683.0,11366.0,10468.0,1334.5,43560.0,,9570.5,8334.0,8007.0,16143.0,22.5,12851.5,14377.0,399.5
-26.45,28.085833,17-04-2012,8914.5,598.0,10418.0,9779.0,1144.0,44390.5,89.5,9671.5,8781.0,8326.0,14892.5,16.0,11449.0,15924.0,118.5
-28.69485,28.23487,17-04-2012,9173.0,544.0,9861.0,9659.5,1038.0,42637.0,,9839.0,8260.0,8484.0,12840.5,11.0,11038.0,13708.0,84.0
-28.883333,27.89,17-04-2012,9144.0,463.0,9921.5,9762.0,863.0,42532.0,,9411.0,8055.5,8727.0,12227.0,23.0,10596.0,13563.5,57.0
-31.396,29.2651,17-04-2012,,-9999.0,,,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,-9999.0,,,-9999.0
-31.554722,29.245556,17-04-2012,,-9999.0,,,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,-9999.0,,,-9999.0
-25.45963889,28.26430556,17-04-2012,,-4620.5,,,-4251.5,,-9999.0,-9999.0,-572.0,-1041.0,,-9999.0,,,-9999.0
-28.338333,31.373611,17-04-2012,8017.0,486.0,8731.0,8831.5,914.0,,-9999.0,-9999.0,8539.0,8636.0,12836.0,9.0,10290.0,13947.5,231.0
-29.161667,23.696389,18-04-2012,9054.0,851.0,9125.0,9928.5,1723.0,41888.5,90.0,9876.0,7925.0,7526.0,7596.0,40.0,7502.0,8021.5,238.0
-27.01011111,26.69808333,18-04-2012,8153.0,225.0,8705.0,8714.0,381.0,41804.0,67.0,9724.0,7999.0,9431.0,10408.5,9.0,9166.0,11286.0,103.5
-25.81048333,27.90955222,18-04-2012,8819.5,716.0,9569.5,9579.0,1405.0,43811.0,106.0,9608.0,8576.5,8011.0,13813.0,38.0,11123.5,13855.0,157.0
-24.282222,28.090278,18-04-2012,8707.0,846.0,9423.0,9454.0,1695.0,44611.0,103.0,9714.0,8855.0,7667.0,14379.0,13.0,11161.0,14580.5,1425.5
-24.768889,31.39,18-04-2012,10245.0,352.0,13405.0,11934.5,646.0,43423.5,96.0,9592.0,8539.0,9084.0,20121.5,9.0,17553.0,17994.0,1719.5
-24.9675,31.516667,18-04-2012,8743.5,374.0,9830.0,9313.0,691.5,43132.5,63.0,9660.0,8446.0,9025.0,14552.0,9.0,11781.0,13515.5,1492.0
-27.00222,28.76528,18-04-2012,9335.5,544.0,10519.0,10024.5,1033.0,,-9999.0,-9999.0,8725.0,8546.5,12756.0,30.0,10954.0,11921.5,902.5
-26.648056,27.089444,18-04-2012,8592.5,229.0,9954.0,9431.5,391.0,42619.5,74.0,9785.5,8390.0,9417.0,15687.0,9.0,12281.5,14091.0,390.5
-26.970278,27.211111,18-04-2012,8974.0,596.0,9138.5,9340.5,1145.5,41972.0,128.0,9876.0,8074.0,8349.0,8044.5,45.0,7830.5,8909.5,1142.0
-26.880278,26.965,18-04-2012,8613.5,234.0,10385.0,9536.0,400.0,42416.0,118.0,9757.5,8297.0,9405.0,15968.0,9.0,12425.0,14036.0,695.5
-27.38972222,26.46388889,18-04-2012,8573.0,230.0,9061.0,9272.0,390.0,41655.0,98.0,9876.0,8074.0,9419.0,8259.0,9.0,8099.0,9159.5,479.0
-26.98472222,26.63227778,18-04-2012,8930.0,223.0,10787.0,9875.0,378.0,43380.5,77.0,9704.0,8632.0,9436.0,15653.5,8.0,13723.0,13692.5,250.5
-30.568333,29.422778,18-04-2012,,-9999.0,,,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,-9999.0,,,-9999.0
-30.570833,29.150556,18-04-2012,8699.5,275.0,10533.5,9601.0,486.0,40041.0,51.5,9674.0,7311.5,9274.0,14189.5,9.0,11833.0,12739.5,880.5
-27.602222,29.942778,19-04-2012,8980.0,774.5,10210.0,9715.0,1538.0,44431.0,36.0,9635.0,8706.0,7783.5,14441.0,9.0,11491.5,14768.0,1317.5
-27.671111,27.236944,19-04-2012,9760.0,533.0,10849.5,10313.5,1010.0,43544.5,96.5,9704.5,8539.0,8546.0,13883.0,22.0,11694.5,13525.0,32.5
-31.031389,28.883333,19-04-2012,8724.5,384.0,9744.0,9850.0,710.0,40862.5,40.0,9683.0,7683.5,9005.0,10592.5,9.0,9155.5,11292.5,4363.5
-30.86013889,29.07125,19-04-2012,8831.0,404.0,10246.0,9698.0,753.0,40985.5,31.5,9794.0,7739.0,8948.0,12146.5,9.0,10156.0,11742.0,4085.0
-33.13083,18.86278,19-04-2012,9275.5,607.0,11420.0,10722.0,1187.0,44053.5,85.0,9742.0,8855.0,8475.0,13029.5,9.0,11280.0,14694.0,1437.0
