,Unnamed: 0,Latitude,Longitude,Sample Date,cdist,drad,emsd,lwir,atmos_opacity,urad,red,blue,nir08,swir16,green,atran,trad,swir22,emis
0,0.0,-28.801278,31.955389,27-05-2014,528.5,874.0,18.0,,,1803.0,8745.0,8196.0,17147.5,12337.5,9253.0,7544.0,8301.0,9604.5,9835.5
1,1.0,-26.970278,27.211111,27-05-2014,1739.5,586.0,128.0,41057.0,9.0,1134.5,8782.0,8382.0,8453.5,7829.5,8856.0,8397.0,7776.0,7660.0,9876.0
2,2.0,-26.98472222,26.63227778,27-05-2014,265.5,618.0,77.0,42621.5,9.0,1205.0,10684.0,8983.0,14731.0,15665.5,9948.0,8304.0,8223.0,12748.0,9703.0
3,3.0,-33.501667,21.624167,27-05-2014,13.0,472.0,65.0,,,915.0,8922.5,8117.0,12897.0,11304.5,8986.0,8737.0,7488.0,9378.5,9671.0
4,4.0,-25.45963889,28.26430556,27-05-2014,601.0,537.0,176.0,,,1034.0,9739.0,8335.5,15289.5,14087.5,9496.5,8574.0,8642.0,11359.5,9621.0
5,5.0,-25.81048333,27.90955222,28-05-2014,135.5,512.0,106.0,,,985.0,9450.5,8619.5,13416.0,13649.0,9149.0,8650.0,8371.5,11248.5,9602.0
6,6.0,-22.935,28.004167,28-05-2014,501.5,639.5,65.0,,,1271.5,9488.5,8269.5,13551.0,12561.0,9221.5,8315.5,8540.5,10746.5,9717.0
7,7.0,-24.282222,28.090278,28-05-2014,1903.5,485.0,103.0,,,927.0,9162.5,8242.0,13504.0,13191.5,8908.5,8732.0,8756.5,10929.0,9726.0
8,8.0,-23.763056,27.908611,28-05-2014,1698.0,570.0,110.0,,,1114.5,8445.0,7813.5,12683.0,11130.5,8475.0,8511.0,8523.5,9383.0,9804.5
9,9.0,-28.747778,31.745833,28-05-2014,64.5,1092.0,53.0,,,2330.0,9838.0,8578.5,16625.5,15853.5,9678.5,7088.0,9005.0,12582.0,9718.0
10,10.0,-27.937778,31.209444,28-05-2014,1665.0,595.5,-9999.0,,,1169.0,8714.5,7966.5,13283.5,11891.0,8712.0,8485.5,8510.5,9896.0,-9999.0
11,11.0,-28.404444,30.013056,28-05-2014,3006.0,405.0,23.0,,,758.0,9975.5,8697.5,13963.5,15591.0,9386.5,8949.5,8488.5,12273.0,9859.0
12,12.0,-29.744167,29.905833,28-05-2014,281.5,589.5,69.0,,,1162.5,10296.5,8758.0,14483.0,15127.0,9695.0,8359.5,8252.0,12190.5,9748.0
13,13.0,-27.00222,28.76528,28-05-2014,3692.0,356.0,-9999.0,,,644.0,10205.0,8756.0,13269.5,15043.0,9584.0,9086.0,8427.0,12523.0,-9999.0
14,14.0,-31.436944,20.474722,28-05-2014,5300.0,310.0,41.5,,,550.5,10994.0,9055.0,14021.0,13894.5,10426.5,9140.0,7769.0,12898.5,9605.0
15,15.0,-29.1825,23.575556,28-05-2014,1137.5,534.0,84.0,,,1022.5,10148.5,8739.0,10665.5,9455.5,10284.5,8497.5,8086.5,8475.0,9818.5
16,16.0,-28.768056,20.720556,28-05-2014,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,-9999.0,-9999.0,,-9999.0
17,17.0,-28.058889,30.373611,28-05-2014,1383.5,378.0,86.0,,,702.0,9390.0,8338.5,13134.5,12741.0,9149.0,9025.0,8392.5,10607.0,9673.0
18,18.0,-22.225556,29.990556,29-05-2014,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,-9999.0,-9999.0,,-9999.0
19,19.0,-22.91028,29.61111,29-05-2014,2447.0,632.0,-9999.0,,10.0,1247.0,10105.5,8939.0,14382.0,12893.5,9778.0,8375.0,8576.5,10557.5,-9999.0
20,20.0,-27.5275,30.858056,29-05-2014,1870.5,432.0,63.0,,,814.5,10216.5,8593.0,14555.0,15184.5,9392.5,8904.5,8626.0,12320.5,9700.0
21,21.0,-27.398611,26.614722,29-05-2014,196.0,381.0,62.0,,,706.0,9149.0,8186.0,14173.0,12213.5,8974.5,9005.0,8518.0,10314.0,9793.0
22,22.0,-27.573056,24.746389,29-05-2014,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,-9999.0,-9999.0,,-9999.0
