,Latitude,Longitude,Sample Date,drad,green,nir08,cdist,atran,blue,swir16,lwir,urad,emsd,trad,swir22,emis,red,atmos_opacity
0,-33.818056,19.694722,29-07-2013,-9999.0,,,-9999.0,-9999.0,,,,-9999.0,-9999.0,-9999.0,,-9999.0,,-9999.0
1,-28.7115,24.07288889,12-05-2015,318.0,9837.5,13521.5,1155.5,9154.0,8442.0,12716.5,,575.0,72.0,8665.0,11000.5,9648.0,10080.5,
2,-27.01011111,26.69808333,12-05-2015,206.0,8782.5,11786.0,103.5,9483.0,8005.0,10265.5,,340.0,67.0,8452.5,9020.5,9684.0,8569.0,
3,-25.81048333,27.90955222,12-05-2015,721.0,9268.0,13349.0,135.5,8049.0,8602.5,13978.5,,1432.0,106.0,8603.5,11331.5,9602.0,9549.0,
4,-25.99136,27.84208,12-05-2015,641.0,9547.5,14327.0,49.0,8261.0,8576.0,14964.0,,1255.0,39.0,8718.0,12332.0,9678.0,10076.0,
5,-25.681111,31.783333,12-05-2015,1070.0,10047.5,13284.5,49.5,7169.0,9211.0,11785.0,44187.0,2257.0,,8836.5,10402.5,9742.5,10251.5,34.0
6,-25.67386,31.57527,12-05-2015,1002.0,9230.0,17407.5,65.5,7361.5,8511.5,12883.5,43641.0,2094.5,63.0,8725.0,9640.0,9847.0,8952.0,47.0
7,-25.513889,31.224444,12-05-2015,855.5,9160.5,12403.0,469.0,7772.5,8630.5,12106.5,43036.5,1743.0,54.0,8520.0,10367.0,9795.0,9090.5,70.0
8,-24.768889,31.39,12-05-2015,1241.0,11479.0,18564.5,529.5,6552.0,9993.0,18582.5,,2684.0,96.0,8914.0,15359.0,9590.0,12270.5,
9,-24.9675,31.516667,12-05-2015,1284.0,11905.5,19091.0,,6434.5,8940.5,19769.5,,2790.5,63.0,8526.5,16577.5,9654.0,12373.0,
10,-27.363611,31.783333,12-05-2015,-9999.0,,,-9999.0,-9999.0,,,,-9999.0,-9999.0,-9999.0,,-9999.0,,-9999.0
11,-26.73806,27.59194,12-05-2015,644.0,9122.0,10142.5,8.5,8169.5,8009.5,9252.0,,1251.0,33.0,7860.0,8527.5,9731.0,9276.5,
12,-26.45,28.085833,12-05-2015,430.0,10326.5,14472.5,360.5,8876.0,9592.5,17443.0,44608.5,798.0,89.5,9022.5,14149.0,9671.5,11447.0,21.0
13,-26.98472222,26.63227778,12-05-2015,203.0,9825.5,15108.5,249.0,9495.0,8786.0,15360.5,,333.0,77.0,8994.5,12898.5,9732.0,9998.5,
14,-28.69485,28.23487,12-05-2015,573.0,8728.5,12892.0,855.0,8314.0,7977.0,11468.0,,1096.0,,7785.5,9622.0,9842.0,8874.0,
15,-29.615556,27.065278,12-05-2015,635.0,9631.0,13568.5,5173.5,8136.0,8273.5,11255.5,,1235.0,71.0,7947.0,9713.5,9644.0,10040.0,
16,-28.883333,27.89,12-05-2015,570.0,9005.0,13435.0,224.5,8339.0,8171.5,11459.0,,1090.0,,7879.0,9865.5,9602.0,9332.0,
17,-29.1825,23.575556,12-05-2015,354.5,9050.5,9998.0,65.5,9054.5,8089.0,9497.0,,647.5,84.0,7705.5,9036.0,9640.0,8927.5,
18,-30.570833,29.150556,12-05-2015,496.0,9529.0,13877.5,1088.0,8572.0,8506.0,13995.0,,942.0,51.5,8199.5,11346.5,9695.0,9983.5,
19,-31.104278,29.399722,12-05-2015,627.5,8942.5,13353.5,500.5,8349.0,8251.0,11671.0,,1235.0,26.0,8362.5,9776.0,9749.0,8953.0,
20,-34.075556,20.145556,12-05-2015,611.0,10180.5,15215.5,1538.5,8333.0,9112.5,17290.5,,1222.0,59.0,8447.0,13862.0,9619.0,10962.5,
21,-32.595833,19.009444,12-05-2015,473.0,9490.5,13689.0,950.0,8702.0,8498.0,13774.5,42348.0,897.0,56.0,8111.0,10936.0,9705.0,9560.0,9.0
22,-34.075556,20.145556,26-01-2011,1148.5,11007.0,15260.0,1564.0,6972.5,9914.0,17938.0,48877.0,2433.5,59.0,10306.0,14597.0,9603.0,12132.5,8.0
23,-34.075556,20.145556,23-02-2011,1284.5,10758.5,14845.0,1563.0,6668.5,9755.0,17859.0,48445.0,2804.5,59.0,10195.0,14390.0,9603.0,11717.0,9.0
24,-25.436111,31.982222,13-05-2015,1383.0,10167.0,14230.0,31.5,6114.0,8825.0,13215.0,,3045.0,-9999.0,8773.0,11304.0,-9999.0,10430.5,
25,-25.362222,31.956667,13-05-2015,1375.0,12782.5,19480.5,,6131.0,10459.0,19884.0,,3027.0,-9999.0,8591.5,16824.0,-9999.0,13807.5,
26,-34.075556,20.145556,28-06-2011,452.0,9825.0,16025.5,772.0,8764.0,8859.0,15554.0,41762.0,847.0,59.0,7851.0,12436.0,9603.0,10224.5,9.0
27,-25.398889,31.610556,13-05-2015,1062.0,10194.0,14644.5,859.0,7178.0,9354.0,15833.5,45285.5,2237.0,35.0,9171.5,13284.0,9761.0,10977.0,24.0
28,-25.14944444,31.94055556,13-05-2015,1378.5,8949.0,11219.0,138.0,6114.5,8005.0,10682.0,,3036.0,-9999.0,8861.0,9485.0,-9999.0,9185.5,
29,-26.861111,28.884722,13-05-2015,643.5,9995.0,14763.5,1289.5,8124.5,8957.5,16622.5,,1247.5,,8795.5,13507.5,9569.0,10847.0,
30,-27.273889,28.49,13-05-2015,624.5,9056.0,11309.5,2667.0,8194.5,8062.0,9363.5,,1207.5,24.5,8104.0,8292.0,9832.5,9118.0,
31,-27.802778,28.768333,13-05-2015,600.0,9102.5,11259.0,822.5,8245.5,8317.0,12233.5,,1155.5,-9999.0,8105.5,10401.0,-9999.0,9354.5,
32,-27.935,26.126667,13-05-2015,210.0,9867.0,13916.0,382.0,9458.0,8654.0,15645.0,,346.0,77.5,8679.0,13277.5,9632.0,10613.5,
33,-30.160091,27.40124,13-05-2015,653.0,9644.0,13422.5,731.5,8064.0,8555.0,13762.5,,1275.0,124.0,7900.0,11260.0,9698.0,10518.0,
34,-30.336111,27.359444,13-05-2015,660.0,9836.0,9318.5,2142.5,8049.0,8731.0,9052.0,,1290.0,20.5,7706.5,8540.5,9867.5,10070.5,
35,-30.568333,29.422778,13-05-2015,364.5,9037.5,14745.0,58.5,9031.0,8308.0,13513.5,,665.5,45.0,7962.0,10930.0,9777.0,9264.0,
36,-31.031389,28.883333,13-05-2015,788.0,12377.5,13589.5,370.5,7833.0,10246.5,12957.5,,1599.5,40.0,7766.0,11259.0,9643.0,13221.5,
37,-30.86013889,29.07125,13-05-2015,790.0,9725.5,11957.5,608.5,7844.0,8610.5,11637.5,,1599.0,31.5,7680.0,10190.5,9783.5,9945.0,
38,-30.77586667,29.03221667,13-05-2015,757.0,10235.5,16314.5,138.0,7938.5,8646.5,15702.5,,1521.5,44.0,7590.5,12682.0,9660.0,10637.0,
39,-33.38056,19.30167,13-05-2015,492.0,10187.0,14869.0,201.0,8600.0,9160.0,15676.0,42305.0,938.0,27.0,7999.0,12558.0,9590.0,10747.0,9.0
40,-33.08883333,19.21878333,13-05-2015,408.0,9628.0,13648.5,1028.5,8847.0,8928.0,14528.0,41460.0,761.0,51.0,7739.0,12008.0,9641.0,10100.0,9.0
41,-25.45963889,28.26430556,13-05-2015,510.0,10616.5,15223.5,363.0,8680.0,9877.0,14966.5,42424.0,969.0,176.0,8148.0,12182.0,9636.0,10850.5,122.5
42,-29.641944,30.6875,14-05-2015,884.5,8704.5,13121.0,834.0,7602.0,7997.0,11559.0,,1834.0,-9999.0,8508.0,9572.0,-9999.0,8720.0,
43,-30.830556,26.921389,14-05-2015,697.0,9146.0,11210.5,1360.0,7932.0,8296.0,10863.0,,1375.0,59.0,7964.0,9554.0,9708.0,9248.5,
44,-24.282222,28.090278,14-05-2015,-9999.0,,,-9999.0,-9999.0,,,,-9999.0,-9999.0,-9999.0,,-9999.0,,-9999.0
