Latitude,Longitude,Sample Date,drad,urad,atran,emis,green,red,emsd,trad,atmos_opacity,nir08,cdist,lwir,swir22,blue,swir16
-29.380556,30.2775,14-10-2015,890.0,1794.0,7605.0,9707.0,9573.5,9654.5,94.0,9674.0,346.0,14572.5,1485.5,46799.0,12100.5,8884.5,14656.5
-27.00222,28.76528,14-10-2015,686.0,1326.0,8187.5,-9999.0,10866.0,11616.5,-9999.0,9636.5,236.0,13321.0,409.0,,12255.0,10083.0,13856.5
-26.648056,27.089444,14-10-2015,635.0,1199.0,8353.0,9808.5,9804.0,9912.5,74.0,10803.5,,15259.5,738.5,,12674.0,8686.0,15860.5
-27.273889,28.49,14-10-2015,660.5,1272.5,8270.5,9714.0,9821.0,9827.0,24.5,9022.5,241.0,13138.0,2901.5,44786.5,9368.0,9390.0,10864.0
-26.98472222,26.63227778,14-10-2015,668.0,1268.0,8281.0,9732.0,10236.5,10597.5,77.0,11188.0,,15493.0,287.5,,13784.5,9195.5,16248.0
-27.671111,27.236944,14-10-2015,596.0,1133.0,8456.0,9674.0,10887.5,11124.5,95.0,9711.0,155.0,14647.0,74.5,46394.0,12829.0,10160.5,14955.0
-26.03611,30.99778,15-10-2015,-9999.0,-9999.0,-9999.0,-9999.0,,,-9999.0,-9999.0,-9999.0,,-9999.0,,,,
-28.141944,26.417778,15-10-2015,699.0,1373.0,8145.0,9712.0,11109.0,12009.5,48.5,9673.5,8.0,14987.5,18.0,46446.5,15862.5,10069.0,17998.0
-24.058889,31.237222,16-10-2015,1057.0,2175.0,7295.0,9641.0,10340.5,11095.5,49.0,10847.0,,15215.5,756.5,,14283.5,9212.5,16747.0
-28.735556,29.820556,19-10-2015,407.0,740.0,8888.0,9673.0,10260.5,9841.0,76.0,9357.5,8.0,14913.0,1159.0,45494.5,11711.5,9110.0,14281.5
-26.619444,27.980833,19-10-2015,681.0,1331.5,8248.5,9706.0,10000.0,10217.5,52.5,10478.0,,15167.5,412.0,,13367.5,9085.5,15512.5
-29.160278,26.573333,19-10-2015,-9999.0,-9999.0,-9999.0,-9999.0,,,-9999.0,-9999.0,-9999.0,,-9999.0,,,,
-33.818056,19.694722,19-10-2015,-9999.0,-9999.0,-9999.0,-9999.0,,,-9999.0,-9999.0,-9999.0,,-9999.0,,,,
-25.447222,30.711667,19-10-2015,920.0,1891.5,7605.5,9725.0,10013.0,10013.0,,8948.5,113.0,14783.5,12.0,44342.5,11657.5,9377.0,14222.0
-28.760833,17.730278,20-10-2015,556.5,1068.5,8721.0,9880.0,9077.0,8484.0,,9413.0,-9999.0,8070.5,2312.0,44704.0,7607.0,8521.5,7712.0
-31.860278,18.6875,20-10-2015,978.0,2041.0,7398.0,9643.0,10270.5,10454.5,77.0,9339.0,37.0,14288.0,365.0,45876.0,11384.5,9565.5,14050.0
-25.127778,27.628889,20-10-2015,1147.0,2353.0,6823.0,9755.0,10311.5,11558.0,42.0,11387.0,,15037.0,10858.5,,16582.5,9373.5,18213.5
-25.20639,27.558,20-10-2015,1148.5,2355.5,6817.0,9644.0,10064.0,10508.0,54.0,10442.0,,15450.0,11980.0,,12286.0,8909.5,15405.5
-24.69514,27.40906,20-10-2015,1129.0,2315.0,6924.0,9597.0,10011.5,10295.0,117.5,10473.0,,14385.0,8481.5,,12119.0,8734.0,14370.5
-25.681111,31.783333,20-10-2015,1439.0,3121.0,6348.0,9752.5,9724.5,9983.5,,10285.0,,12781.0,7466.0,,10940.0,8565.0,12470.5
-25.67386,31.57527,20-10-2015,1367.5,2944.5,6544.5,9816.0,9583.5,9565.0,63.0,10376.0,,15240.5,8730.5,,11751.0,8933.5,14690.5
-28.44555556,32.325,17-11-2015,857.0,1747.0,7767.0,9796.0,10747.5,11225.5,,9766.5,45.5,16611.5,908.0,46494.5,13792.5,9462.0,16243.5
-27.802778,28.768333,20-10-2015,-9999.0,-9999.0,-9999.0,-9999.0,,,-9999.0,-9999.0,-9999.0,,-9999.0,,,,
-27.671111,27.236944,20-10-2015,755.0,1495.0,8050.0,9704.0,10043.0,10082.0,96.5,10272.0,,15336.0,270.0,,12342.5,9021.0,14454.0
-28.69485,28.23487,20-10-2015,652.0,1265.0,8299.0,9842.0,9225.5,9237.5,,9713.0,,14243.5,1128.5,,10785.5,8505.5,12961.0
-28.883333,27.89,20-10-2015,700.0,1368.0,8164.0,9602.0,9599.0,9619.5,,10031.5,,15685.5,398.0,,11407.5,8627.0,13800.5
-34.092222,21.295278,20-10-2015,923.0,1875.0,7437.0,9826.0,10111.0,10341.0,99.0,9504.0,,19259.0,113.5,,12723.5,8684.5,16462.5
-32.595833,19.009444,20-10-2015,925.5,1903.5,7602.5,9705.0,10037.0,10057.5,56.0,9413.0,12.0,14980.5,512.0,45745.5,11183.0,9212.5,13915.5
-28.338333,31.373611,20-10-2015,750.0,1484.0,8111.0,-9999.0,10779.0,11518.5,-9999.0,10147.0,,12879.5,2244.0,,10461.0,9415.5,11961.5
-29.161667,23.696389,21-10-2015,711.0,1393.0,8256.0,9904.0,10754.0,10104.0,90.0,9387.0,,7842.5,4191.0,,7666.5,9088.5,7722.5
-30.830556,26.921389,21-10-2015,724.0,1417.0,8128.0,9708.0,9554.0,9726.0,59.0,10162.0,,12503.0,216.5,,10085.5,8666.0,11333.0
-24.670833,28.560833,21-10-2015,476.0,888.0,8740.0,9635.5,10609.0,11459.5,26.5,10802.5,,16484.0,1585.5,,15810.0,9355.0,17973.5
-22.91028,29.61111,21-10-2015,1231.0,2579.0,6628.0,-9999.0,10267.0,10713.0,-9999.0,9506.5,16.0,14492.0,169.0,,11603.5,9376.0,13864.5
-28.058889,30.373611,27-04-2015,359.0,654.0,9036.0,9649.0,9250.0,9275.0,96.0,8763.0,,14585.0,1385.5,,10349.5,8450.0,12952.5
-26.006389,29.253889,21-10-2015,-4664.5,-4347.5,-879.5,-9999.0,,,-9999.0,-32.5,-9999.0,,-9999.0,,,,
-25.362222,31.956667,21-10-2015,1520.0,3327.0,6095.0,-9999.0,10336.0,11236.0,-9999.0,11170.5,,15167.5,4828.5,,15398.0,9365.0,17893.5
-25.398889,31.610556,21-10-2015,1442.0,3130.0,6330.5,9779.5,10423.0,11141.5,35.0,10758.5,,15553.5,8323.0,,14890.0,9338.5,17250.5
-27.602222,29.942778,21-10-2015,731.5,1438.0,8124.5,9635.0,9740.0,10324.0,36.0,10920.0,12.0,12439.5,1683.5,49593.0,14068.5,9018.0,15344.0
-27.169444,29.233889,21-10-2015,-9999.0,-9999.0,-9999.0,-9999.0,,,-9999.0,-9999.0,-9999.0,,-9999.0,,,,
-26.510278,28.351389,21-10-2015,255.0,434.0,9313.0,9557.0,10414.0,11501.5,,10285.5,,14396.0,94.5,,14767.5,9247.0,16476.5
-27.398611,26.614722,21-10-2015,977.5,1964.0,7258.0,9786.0,10150.0,10109.5,62.0,9920.5,,16061.0,1069.0,,12042.0,8510.5,14561.5
-30.336111,27.359444,21-10-2015,721.0,1412.0,8128.0,9867.5,10881.0,12378.0,20.5,9218.0,,12432.5,31.5,,8661.5,9408.5,9122.0
-29.615556,27.065278,21-10-2015,741.0,1456.0,8073.0,9644.0,11190.0,12202.0,71.0,10003.5,,16233.0,316.0,,12710.5,9843.0,14436.5
-34.250556,20.9925,21-10-2015,869.0,1753.0,7567.0,9767.0,9105.0,8944.0,22.0,9335.5,,14738.0,285.5,,10727.0,8116.0,13322.0
-33.38056,19.30167,21-10-2015,853.5,1737.5,7724.0,-9999.0,,,-9999.0,9264.0,-9999.0,,-9999.0,,,,
