Latitude,Longitude,Sample Date,emis,cdist,drad,green,urad,atmos_opacity,atran,trad,emsd,swir22,blue,swir16,red,lwir,nir08
-26.905,32.324722,07-11-2012,9819.5,,1410.0,11536.0,3116.0,288.0,6068.0,6567.0,,10518.0,10990.5,12934.5,11127.0,35361.5,19261.5
-30.398056,30.601944,07-11-2012,-9999.0,733.0,1719.0,9231.0,4059.0,73.5,5207.0,9190.0,-9999.0,9097.5,8388.5,11458.5,8922.0,,17162.5
-30.27402,30.69602,07-11-2012,-9999.0,541.5,1672.0,9951.0,3943.0,64.0,5299.0,9283.0,-9999.0,9854.5,8840.5,12149.5,10216.0,,16386.0
-27.3,28.586944,07-11-2012,-9999.0,-9999.0,-4719.5,,-4466.0,-9999.0,-813.5,-460.5,-9999.0,,,,,,
-29.615556,27.065278,07-11-2012,9612.0,120.0,902.0,10670.0,1833.0,8.0,7512.0,9543.5,71.0,11747.5,9627.0,13752.5,11533.0,46789.0,15666.5
-34.405833,19.600556,07-11-2012,-9999.0,-9999.0,-4616.0,,-4230.5,-9999.0,-978.0,-125.5,-9999.0,,,,,,
-27.01011111,26.69808333,08-11-2012,9723.0,109.5,326.0,9893.0,572.0,9.0,9170.0,7739.0,67.0,10263.5,9294.0,11953.5,9862.0,41215.0,13465.0
-30.830556,26.921389,08-11-2012,9720.0,1497.0,935.0,9265.5,1900.0,8.0,7382.0,9283.0,59.0,9337.0,8722.5,10885.0,9257.0,46017.0,12512.0
-22.91028,29.61111,08-11-2012,-9999.0,1235.5,706.0,10224.0,1403.0,9.0,8150.0,9506.5,-9999.0,11985.0,9262.5,14795.0,10943.0,,14339.5
-26.861111,28.884722,08-11-2012,9561.0,33.5,744.5,10224.0,1473.0,145.0,8050.0,9617.5,,12502.5,9302.0,15283.0,10287.5,46615.5,16702.0
-27.00222,28.76528,08-11-2012,-9999.0,291.5,563.0,10770.0,1075.0,100.0,8369.0,8892.0,-9999.0,12544.5,9872.0,15227.0,11066.5,,14442.0
-27.02314,28.59389,08-11-2012,9732.0,90.5,577.0,11140.0,1105.0,156.0,8330.0,8706.5,,11467.0,10051.5,13288.5,11503.0,44300.0,14489.5
-26.648056,27.089444,08-11-2012,-9999.0,-9999.0,583.0,,1119.0,-9999.0,8521.0,9673.5,-9999.0,,,,,,
-26.880278,26.965,08-11-2012,9744.5,311.0,355.0,10100.5,633.0,111.5,9095.0,8278.5,118.0,12620.0,9383.5,15278.0,10524.5,42478.5,13673.5
-26.98472222,26.63227778,08-11-2012,9703.0,272.5,332.0,10385.0,585.0,9.0,9157.0,8836.5,77.0,12427.5,9268.5,15196.0,10842.0,43913.0,15078.0
-29.028629,24.638389,08-11-2012,9669.0,186.0,373.0,10247.0,668.0,65.0,9000.0,9450.5,61.0,13002.0,9381.5,14594.5,10694.0,45487.5,15214.0
-30.679722,26.7125,08-11-2012,9585.5,2453.5,928.0,9985.5,1885.0,8.0,7424.0,8743.5,99.0,7866.5,8966.5,7995.0,11206.0,44077.0,11203.0
-30.160091,27.40124,08-11-2012,9714.5,450.0,931.0,10326.5,1893.0,8.0,7403.0,9766.5,124.0,13284.5,9354.0,16080.0,10989.0,47346.5,15529.5
-30.336111,27.359444,08-11-2012,9733.0,,937.0,65535.0,1905.0,8.0,7387.0,6623.0,20.5,26157.5,65535.0,65535.0,65535.0,37391.5,33140.5
-34.329722,18.990278,08-11-2012,9613.0,69.5,896.0,9276.0,1845.0,9.0,7796.0,9413.0,60.0,11045.5,8618.5,13107.5,9567.5,45596.0,13654.0
-29.658056,25.973333,09-11-2012,9687.0,786.5,203.0,10111.0,328.0,8.0,9475.0,9041.0,69.0,12679.0,9133.0,14689.5,10338.5,44390.5,13926.5
-31.000833,26.353056,09-11-2012,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
-29.803611,30.516111,09-11-2012,9837.0,507.5,1437.0,9938.0,3189.0,104.5,6178.0,9134.5,112.0,11072.5,8811.0,14580.0,9588.0,44975.0,19050.5
-25.99136,27.84208,12-11-2012,9676.0,88.0,1139.0,9841.0,2423.0,33.0,6684.0,8669.0,39.0,11468.5,9017.0,14523.0,9861.0,44674.5,16117.0
-26.861111,28.884722,12-11-2012,9561.0,33.5,744.5,10224.0,1473.0,145.0,8050.0,9617.5,,12502.5,9302.0,15283.0,10287.5,46615.5,16702.0
-26.45,28.085833,12-11-2012,9671.5,245.0,1024.0,10120.0,2132.0,26.0,7080.0,8892.0,89.5,12355.0,9189.0,16067.5,10172.5,45080.5,15975.5
-27.671111,27.236944,12-11-2012,9725.0,81.5,684.0,10789.5,1337.0,105.0,8027.0,9097.0,96.5,12462.0,9851.0,14834.5,10763.5,45316.5,15818.5
-33.38056,19.30167,12-11-2012,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
-32.502778,19.535833,12-11-2012,9520.0,4325.5,571.0,12180.5,1088.0,8.0,8475.0,9859.5,54.0,17277.5,10350.5,19564.5,13691.0,47151.5,17171.5
-27.01011111,26.69808333,13-11-2012,9723.0,109.5,326.0,9893.0,572.0,9.0,9170.0,7739.0,67.0,10263.5,9294.0,11953.5,9862.0,41215.0,13465.0
-31.860278,18.6875,13-11-2012,9643.0,221.0,608.0,10329.5,1172.0,8.0,8379.0,9617.5,77.0,11594.5,9301.0,14039.5,10675.0,46326.0,15426.0
-25.73411,27.21422,13-11-2012,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
-22.43772222,31.07805556,13-11-2012,9595.0,428.5,1865.5,10495.5,4244.5,118.5,4793.5,8855.0,16.0,12257.5,9760.5,14794.0,11153.5,45196.5,14338.5
-29.380556,30.2775,13-11-2012,9707.0,107.5,1168.0,9549.5,2471.0,114.0,6922.5,9116.0,94.0,10398.0,8480.5,13860.0,9071.5,45109.0,19285.5
-27.169444,29.233889,13-11-2012,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
-27.00222,28.76528,13-11-2012,-9999.0,291.5,563.0,10770.0,1075.0,100.0,8369.0,8892.0,-9999.0,12544.5,9872.0,15227.0,11066.5,,14442.0
-26.970278,27.211111,13-11-2012,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
-26.880278,26.965,13-11-2012,9744.5,311.0,355.0,10100.5,633.0,111.5,9095.0,8278.5,118.0,12620.0,9383.5,15278.0,10524.5,42478.5,13673.5
-26.98472222,26.63227778,13-11-2012,9703.0,272.5,332.0,10385.0,585.0,9.0,9157.0,8836.5,77.0,12427.5,9268.5,15196.0,10842.0,43913.0,15078.0
-27.935,26.126667,13-11-2012,9623.0,2330.5,266.0,10705.0,451.0,9.0,9327.0,9711.0,77.0,15537.0,9634.0,17813.5,11586.0,46144.5,14335.0
-32.595833,19.009444,13-11-2012,9705.0,648.0,561.0,9884.0,1068.5,9.0,8503.0,9320.5,56.0,10974.5,8871.0,13610.0,10097.0,45439.0,15930.5
-25.45963889,28.26430556,13-11-2012,9636.0,394.5,1269.0,9857.5,2744.0,21.0,6290.0,8855.0,176.0,11355.0,8958.0,13865.5,10010.5,45548.5,15783.0
-29.161667,23.696389,14-11-2012,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
-25.81048333,27.90955222,14-11-2012,-195.5,-4979.5,-4381.5,4719.5,-3669.0,-4995.0,-1800.5,-739.5,-4977.0,4437.5,4427.0,5176.0,4750.0,22036.0,5687.5
-27.3,28.586944,14-11-2012,-9999.0,-9999.0,-4719.5,,-4466.0,-9999.0,-813.5,-460.5,-9999.0,,,,,,
-33.31388889,19.07472222,14-11-2012,9712.0,200.5,538.0,9649.5,1014.0,9.0,8548.0,9153.0,55.0,11455.0,8836.5,13676.0,10015.0,45032.0,14585.5
-33.13083,18.86278,14-11-2012,9760.5,1750.0,525.0,10505.0,985.0,9.0,8591.0,9636.5,85.0,12710.0,9373.0,15080.0,11498.5,46114.0,15951.5
-27.5275,30.858056,15-11-2012,9714.0,3042.0,395.0,10072.0,728.5,143.0,9078.5,10399.5,63.0,14371.5,9264.0,15980.0,10597.5,47410.5,13913.0
-33.7075,18.97444444,15-11-2012,9632.0,47.5,527.0,9748.5,990.0,9.0,8551.0,9097.0,95.0,10629.5,8922.0,12990.0,10195.0,45106.5,14723.0
-34.250556,20.9925,16-11-2012,9775.0,1288.0,796.0,9041.5,1599.0,9.0,7952.0,9562.0,22.0,10422.0,8274.5,12897.0,9011.0,45898.5,13387.0
-24.679167,30.8025,19-11-2012,9709.0,4757.0,295.0,9804.5,518.0,9.0,9241.0,9990.0,,14959.5,8720.5,16096.0,10854.5,46608.5,13212.5
-26.45,28.085833,19-11-2012,9671.5,245.0,1024.0,10120.0,2132.0,26.0,7080.0,8892.0,89.5,12355.0,9189.0,16067.5,10172.5,45080.5,15975.5
-28.116667,26.725278,19-11-2012,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
-29.160278,26.573333,19-11-2012,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
-27.01011111,26.69808333,20-11-2012,9723.0,109.5,326.0,9893.0,572.0,9.0,9170.0,7739.0,67.0,10263.5,9294.0,11953.5,9862.0,41215.0,13465.0
-24.183889,30.823889,20-11-2012,9649.5,3138.5,708.5,9747.0,1405.0,9.0,8241.5,9506.0,48.5,11431.5,8743.0,13302.5,10100.0,45816.5,13520.5
-25.127778,27.628889,20-11-2012,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
-25.20639,27.558,20-11-2012,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
-26.861111,28.884722,20-11-2012,9561.0,33.5,744.5,10224.0,1473.0,145.0,8050.0,9617.5,,12502.5,9302.0,15283.0,10287.5,46615.5,16702.0
-27.00222,28.76528,20-11-2012,-9999.0,435.0,731.0,10035.0,1432.0,13.0,8021.0,9153.0,-9999.0,11181.0,9018.0,14247.0,10043.0,,14549.5
-26.648056,27.089444,20-11-2012,-9999.0,-9999.0,583.0,,1119.0,-9999.0,8521.0,9673.5,-9999.0,,,,,,
-26.970278,27.211111,20-11-2012,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
-26.880278,26.965,20-11-2012,9744.5,311.0,355.0,10100.5,633.0,111.5,9095.0,8278.5,118.0,12620.0,9383.5,15278.0,10524.5,42478.5,13673.5
-26.98472222,26.63227778,20-11-2012,9703.0,272.5,332.0,10385.0,585.0,9.0,9157.0,8836.5,77.0,12427.5,9268.5,15196.0,10842.0,43913.0,15078.0
-31.396,29.2651,20-11-2012,9799.0,3589.5,1019.5,10811.5,2129.5,26.0,7442.5,8985.5,78.0,8144.0,9353.5,8493.5,12323.5,43745.0,14776.5
-31.554722,29.245556,20-11-2012,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
-34.031944,22.053333,20-11-2012,9652.0,351.0,432.0,8860.0,809.0,9.0,8887.0,8148.0,81.0,9920.0,8330.0,11428.0,9007.0,42304.0,12478.0
-34.039722,22.133333,20-11-2012,9845.0,153.5,432.0,9954.0,810.0,13.0,8885.0,8185.0,80.0,11194.0,9090.0,14602.0,9800.0,42030.0,19370.5
-29.161667,23.696389,21-11-2012,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
-28.7115,24.07288889,21-11-2012,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
-28.747778,31.745833,21-11-2012,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
-28.141944,26.417778,21-11-2012,9707.0,3451.0,278.0,9810.0,475.0,9.0,9296.0,9617.5,48.5,13543.0,9024.0,16112.0,10151.0,45731.5,14799.0
-30.27402,30.69602,10-10-2012,-9999.0,362.5,883.0,9576.0,1821.0,12.0,7533.0,8446.0,-9999.0,9694.0,8576.0,12173.0,9699.0,,14796.5
-29.160278,26.573333,21-11-2012,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
-30.570833,29.150556,21-11-2012,9674.0,1154.0,489.0,10452.5,910.0,20.0,8749.0,9245.5,51.5,12066.5,9190.5,14116.0,10942.0,45133.0,14860.0
-31.104278,29.399722,21-11-2012,9755.0,1015.5,822.5,9567.5,1657.0,18.0,7975.0,9171.5,26.0,9021.0,8452.0,10545.0,9691.0,44407.0,14263.0
