Latitude,Longitude,Sample Date,emsd,urad,drad,nir08,emis,swir22,atmos_opacity,green,trad,swir16,cdist,red,atran,blue,lwir
-29.033333,23.983333,29-05-2013,73.0,552.0,310.0,13636.0,9673.0,11039.5,9.0,9666.0,7404.0,13018.5,1247.0,10226.0,9059.0,8793.0,40600.0
-22.935,28.004167,30-05-2013,65.0,914.0,481.5,13685.5,9717.0,11774.5,,9557.5,8788.0,13765.5,3001.5,9596.5,8738.0,8380.0,
-27.273889,28.49,30-05-2013,24.5,204.0,133.0,9840.5,9828.5,8282.0,,9156.5,7538.5,9157.0,48.0,9304.5,9654.5,8430.5,
-27.38972222,26.46388889,30-05-2013,98.0,1046.0,550.0,17681.0,9628.0,17795.5,,13670.0,6352.0,19583.5,,14568.5,8335.0,10409.0,
-27.398611,26.614722,30-05-2013,62.0,1040.0,547.0,28396.5,9725.5,26059.0,,24259.0,5912.0,27737.5,,25633.0,8342.0,22180.0,
-27.671111,27.236944,30-05-2013,96.5,1050.0,551.0,13566.5,9765.5,11332.0,,9571.0,8100.0,12964.5,66.5,10077.0,8306.0,8508.0,
-29.042222,24.6,30-05-2013,105.0,366.0,216.0,9596.5,9796.0,8420.0,,9040.5,7421.0,8966.0,271.0,8853.0,9352.0,7800.0,
-29.028629,24.638389,30-05-2013,61.0,365.0,215.0,15055.0,9659.0,10614.0,,9251.0,7470.0,12726.5,298.5,9549.5,9354.0,8125.5,
-29.033333,23.983333,30-05-2013,73.0,552.0,310.0,13636.0,9673.0,11039.5,9.0,9666.0,7404.0,13018.5,1247.0,10226.0,9059.0,8793.0,40600.0
-29.744167,29.905833,31-05-2013,69.0,762.5,410.5,14401.0,9735.0,10979.5,10.0,9425.0,7553.0,13792.0,522.5,9880.0,8885.5,8567.0,40688.5
-28.404444,30.013056,03-06-2013,-9999.0,-9999.0,-9999.0,,-9999.0,,-9999.0,,-9999.0,,-9999.0,,-9999.0,,
-26.73806,27.59194,03-06-2013,33.0,321.0,192.0,9605.0,9904.0,7908.0,,9184.5,7777.5,8203.0,2275.5,9259.0,9492.0,8422.0,
