Unnamed: 0.1,Unnamed: 0,Latitude,Longitude,Sample Date,atran,green,drad,blue,emis,atmos_opacity,emsd,nir08,swir16,swir22,lwir,red,urad,trad,cdist
0,0.0,-28.760833,17.730278,05-12-2013,8331.0,10137.0,685.0,9456.0,9880.0,-9999.0,,9544.0,9461.5,9348.0,43687.0,9888.0,1329.0,8706.0,12.0
1,1.0,-26.905,32.324722,05-12-2013,5015.0,9393.5,1789.0,8161.0,9841.5,,,19939.5,13028.5,10133.5,,8629.0,3994.0,8692.0,24.0
2,2.0,-28.116667,26.725278,05-12-2013,8756.5,18971.5,488.0,18158.5,9722.0,,39.0,23005.0,21302.0,18373.5,,19450.5,907.5,7972.0,
3,3.0,-34.250556,20.9925,05-12-2013,7218.0,9514.5,1016.0,8747.5,9775.0,9.0,22.0,14246.0,13828.5,11249.5,46495.5,9575.5,2102.0,9525.0,1256.0
4,4.0,-34.092222,21.295278,05-12-2013,7390.0,10553.0,967.0,9300.5,9809.0,11.0,99.0,18419.0,17866.5,14076.5,47569.5,10916.0,1983.0,9990.0,142.5
5,5.0,-23.658056,31.05,06-12-2013,5724.5,10374.0,1585.0,9424.0,9662.0,8.0,,15182.0,16119.5,13127.0,49556.0,10832.0,3471.5,10176.0,893.5
6,6.0,-23.281,30.54305556,06-12-2013,6265.0,10725.0,1409.0,9542.0,9567.0,39.0,46.0,15484.5,17093.5,14354.5,49484.5,11534.5,3003.0,10250.5,5785.0
7,7.0,-27.02314,28.59389,07-12-2013,8202.0,10131.5,696.0,9255.5,9756.0,,,11101.0,9952.0,9161.0,,10631.0,1343.0,9519.5,193.0
8,8.0,-25.99136,27.84208,09-12-2013,-9999.0,,-9999.0,,-9999.0,-9999.0,-9999.0,,,,,,-9999.0,-9999.0,-9999.0
9,9.0,-27.935,26.126667,09-12-2013,8333.0,10761.5,645.0,9360.5,9623.0,8.0,77.5,16612.0,17219.0,14504.0,48310.0,11276.0,1236.0,10399.5,1198.0
10,10.0,-28.141944,26.417778,09-12-2013,8844.0,26725.5,455.0,26023.0,9705.0,,48.5,30946.0,31135.0,27149.5,,27715.5,839.0,8087.0,
11,11.0,-28.1175,26.719444,09-12-2013,8757.0,7916.5,488.0,7210.5,9730.0,,54.0,9542.0,9047.0,8295.0,,7720.0,907.0,9314.0,18.0
12,12.0,-28.116667,26.725278,09-12-2013,8756.5,18971.5,488.0,18158.5,9722.0,,39.0,23005.0,21302.0,18373.5,,19450.5,907.5,7972.0,
13,13.0,-25.73411,27.21422,10-12-2013,7087.0,10217.5,1066.0,9150.0,9685.0,11.0,38.0,14892.5,16386.5,13369.5,46672.5,10801.0,2207.0,9506.5,176.0
14,14.0,-25.45963889,28.26430556,10-12-2013,6751.0,9625.5,1214.0,8549.0,9621.0,,176.0,18201.5,14269.0,11184.5,,9149.5,2508.0,9842.5,559.5
15,15.0,-27.01011111,26.69808333,11-12-2013,8207.0,9547.0,692.0,8827.0,9723.0,8.0,67.0,10729.0,8845.5,8508.0,44261.0,9491.0,1337.0,8855.0,119.0
16,16.0,-25.81048333,27.90955222,11-12-2013,6559.5,9454.0,1248.0,8644.5,9600.0,10.0,106.0,15574.5,13710.0,10900.5,45678.0,9324.5,2657.0,9097.0,372.5
17,17.0,-28.116667,26.725278,22-02-2011,6645.5,9985.0,1147.0,9105.5,9798.0,70.0,39.0,15369.5,13022.5,10319.0,45218.0,9797.0,2411.5,8769.0,751.5
18,18.0,-24.183889,30.823889,11-12-2013,7884.5,10324.0,871.5,9120.5,9661.0,,48.5,15520.0,14671.5,12173.0,,11048.0,1754.5,10642.0,2641.5
19,19.0,-24.058889,31.237222,11-12-2013,7063.0,10327.0,1186.0,9175.5,9641.0,,49.0,16604.0,17431.0,14679.5,,11073.5,2464.0,11332.0,11265.5
20,20.0,-28.116667,26.725278,26-07-2011,9397.0,10367.0,238.0,9374.5,9760.5,8.0,39.0,13530.5,16386.0,13564.5,43552.5,11153.0,405.0,8762.5,669.0
21,21.0,-28.116667,26.725278,23-08-2011,9397.0,10367.0,238.0,9374.5,9760.5,8.0,39.0,13530.5,16386.0,13564.5,43552.5,11153.0,405.0,8762.5,669.0
