Latitude,Longitude,Sample Date,drad,green,emsd,cdist,emis,red,nir08,swir22,blue,lwir,trad,atran,atmos_opacity,swir16,urad
-24.69514,27.40906,18-11-2014,1068.0,10026.0,117.5,745.0,9597.0,10427.0,14524.5,11103.5,8490.0,,10301.0,7157.0,,13145.0,2205.0
-26.006389,29.253889,18-11-2014,971.0,9202.5,71.0,608.0,9521.0,9536.0,11779.5,10774.0,8422.0,,9329.0,7218.0,,12232.5,1954.0
-25.513889,31.224444,18-11-2014,1102.5,9714.5,54.0,802.5,9817.0,9353.0,17932.0,11248.5,8492.0,,9341.5,7032.5,,14001.5,2287.5
-25.398889,31.610556,18-11-2014,1182.0,10407.5,35.0,1872.5,9771.0,10719.5,16980.5,13902.5,9084.5,,10009.5,6797.5,,16593.5,2484.0
-28.141944,26.417778,18-11-2014,443.0,11095.5,48.5,147.0,9712.0,11603.5,15947.0,14632.0,9978.5,43454.5,8558.0,8758.0,9.0,17106.0,825.0
-28.1175,26.719444,18-11-2014,-4768.0,4772.5,-4972.5,-4996.0,-150.0,4772.0,5374.0,4667.0,4599.0,22109.5,-590.5,-649.0,-4995.5,5280.5,-4566.5
-29.028629,24.638389,18-11-2014,503.0,9666.0,61.0,326.0,9659.0,9950.5,16152.5,11578.0,8577.0,,9770.0,8686.0,,13416.5,940.0
-28.338333,31.373611,18-11-2014,1375.0,10994.0,-9999.0,3404.5,-9999.0,11720.0,12616.5,10628.5,9613.5,,10158.5,6214.0,,11489.0,2979.0
-28.068333,31.55,18-11-2014,1452.0,9965.0,,3318.5,9805.0,10590.5,15430.5,14314.5,8731.0,,10776.0,5989.5,,16712.5,3175.5
-29.641944,30.6875,19-11-2014,1460.5,9329.5,-9999.0,192.5,-9999.0,9039.0,17188.5,10318.5,8290.0,,9288.5,5808.0,,13515.0,3290.0
-24.39619444,27.08983333,19-11-2014,1082.0,9724.0,201.0,5079.0,9629.5,10026.0,13702.5,10918.5,8602.5,,10063.5,7108.0,,12819.5,2242.0
-25.681111,31.783333,19-11-2014,1244.0,9871.0,,15.5,9751.5,9986.5,13614.0,10472.5,8533.0,,9656.0,6609.0,,12133.5,2639.0
-28.44555556,32.325,14-01-2015,955.0,10293.0,,859.5,9806.0,10862.0,15631.0,12620.0,9317.0,45785.5,9506.5,7515.0,261.0,15079.0,1989.0
-29.161667,30.629722,19-11-2014,1172.0,9601.5,71.0,2312.0,9799.0,10015.0,15377.5,13326.0,8546.5,,10287.0,6751.5,,15650.5,2496.5
-26.45,28.085833,19-11-2014,628.0,10369.0,89.5,1537.5,9689.5,11211.5,15485.0,14875.5,9161.0,,10672.5,8358.5,,17824.0,1195.0
-27.38972222,26.46388889,19-11-2014,773.0,8854.0,98.0,226.5,9904.0,8591.0,8564.5,8442.0,7981.5,,9811.5,8000.0,,8475.0,1519.0
-27.398611,26.614722,19-11-2014,783.0,9461.0,62.0,326.0,9799.5,9491.5,15705.0,11532.0,8196.5,,10056.5,7967.0,,14034.5,1542.0
-25.57877778,29.12747222,19-11-2014,909.5,9886.0,,1820.0,9585.0,10459.5,14441.5,13463.5,8842.0,,10228.5,7561.0,,15269.0,1806.0
